# name                   RA(J2000)     Dec(J2000)    z      r    tier  exposure    status  comment
P17510                 08:48:55.94  +58:41:54.1  0.133  17.5 D2   2 x 4 min   backup  brightening, last spec 18.8 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.82, P(continuum brightened) = 0.57; optical brighter by 0.91 mag since the 1785-54439-251 spectrum (ZTF vs synthetic); W1 brightened 0.73 mag 2014-24; W1 amplitude 1.14 mag; manifold prior P_hb 0.21, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.799
P17445                 08:35:22.54  +06:01:28.9  0.452  18.5 K    2 x 6 min   backup  brightening, last spec 22.8 yr ago; DR16 quasar | WHY: KNOWN changer (turn-on) with recent photometric motion; optical brighter by 1.20 mag since the 1297-52963-46 spectrum (ZTF vs synthetic); W1 brightened 0.50 mag 2014-24; W1 amplitude 0.46 mag; log Edd -1.51; manifold prior P_hb 0.05, direction neutral; oct26: x1.0 moon, 11 min + 5 overhead -> yield/h 3.75
P21757                 09:59:05.12  +62:52:41.8  0.289  18.3 D2   2 x 4 min   backup  brightening, last spec 25.6 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.79, P(continuum brightened) = 0.19; optical brighter by 0.97 mag since the 487-51943-154 spectrum (ZTF vs synthetic); W1 brightened 0.31 mag 2014-24; manifold prior P_hb 0.11, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.627
P25057                 10:59:07.09  +47:23:31.0  0.212  18.2 D2   2 x 4 min   backup  brightening, last spec 23.7 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.75, P(continuum brightened) = 0.07; optical brighter by 0.93 mag since the 963-52643-40 spectrum (ZTF vs synthetic); W1 faded 0.65 mag 2014-24; W1-W2 redder by 0.12; manifold prior P_hb 0.17, direction turn-off-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.483
P15106                 07:47:32.63  +37:17:22.9  0.396  18.3 D2   2 x 4 min   backup  brightening, last spec 2.7 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.75, P(continuum brightened) = 0.20; optical brighter by 0.99 mag since the 9368-57817-223 spectrum (ZTF vs synthetic); log Edd -1.42; manifold prior P_hb 0.06, direction turn-off-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.45
P19455                 09:29:19.93  +43:41:16.6  0.242  18.1 D2   2 x 4 min   backup  brightening, last spec 24.6 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.74, P(continuum brightened) = 0.31; optical brighter by 0.86 mag since the 870-52325-496 spectrum (ZTF vs synthetic); W1 brightened 0.62 mag 2014-24; W1 amplitude 0.86 mag; manifold prior P_hb 0.09, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.434
P19923                 09:08:26.74  +00:21:37.4  0.163  17.6 K    2 x 4 min   backup  brightening, last spec 25.7 yr ago; DR16 quasar | WHY: KNOWN changer (nan) with recent photometric motion; optical brighter by 0.80 mag since the 471-51924-89 spectrum (ZTF vs synthetic); W1 brightened 0.18 mag 2014-24; W1 amplitude 0.53 mag; manifold prior P_hb 0.17, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.137
J075934.95+322143.3    07:59:34.95  +32:21:43.3  0.269  18.4 K    2 x 5 min   backup  flat/unknown, last spec 1.6 yr ago; Zeltyn+2024 object | WHY: KNOWN changer (Zeltyn CL-AGN): ZTF r moved -0.28 mag since the last spectrum; W1 slope +0.18 mag/yr; last spectrum 1.6 yr ago; oct26: x1.0 moon, 10 min + 5 overhead -> yield/h 3.135
P14388                 07:59:34.95  +32:21:43.3  0.269  18.3 K    2 x 4 min   backup  brightening, last spec 1.6 yr ago; DR16 quasar | WHY: KNOWN changer (nan) with recent photometric motion; optical brighter by 0.56 mag since the 890-52583-634 spectrum (ZTF vs synthetic); W1 faded 0.17 mag 2014-24; W1-W2 redder by 0.08; log Edd -1.48; manifold prior P_hb 0.10, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.09
P15786                 08:11:20.58  +14:12:43.2  0.153  18.2 K    2 x 4 min   backup  brightening, last spec 1.8 yr ago; DR16 quasar | WHY: KNOWN changer (turn-on) with recent photometric motion; optical brighter by 0.81 mag since the 4499-55572-161 spectrum (ZTF vs synthetic); W1 brightened 0.16 mag 2014-24; W1 amplitude 0.64 mag; manifold prior P_hb 0.09, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.055
P16912                 08:41:10.88  +02:29:52.1  0.332  18.3 D2   2 x 4 min   backup  brightening, last spec 24.8 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.66, P(continuum brightened) = 0.36; optical brighter by 1.01 mag since the 564-52224-278 spectrum (ZTF vs synthetic); W1 brightened 0.38 mag 2014-24; W1-W2 redder by 0.13; W1 amplitude 0.79 mag; log Edd -1.76; manifold prior P_hb 0.07, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 3.026
P16757                 08:31:25.12  +56:09:25.2  0.232  18.5 K    2 x 6 min   backup  fading, last spec 21.7 yr ago; DR16 quasar | WHY: KNOWN changer (turn-off) with recent photometric motion; optical fainter by 0.22 mag since the 1783-53386-520 spectrum (ZTF vs synthetic); W1 brightened 0.29 mag 2014-24; log Edd -1.14; manifold prior P_hb 0.13, direction neutral; oct26: x1.0 moon, 11 min + 5 overhead -> yield/h 2.945
P21919                 09:56:27.01  +54:04:15.0  0.207  17.9 D2   2 x 4 min   backup  brightening, last spec 18.5 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.63, P(continuum brightened) = 0.49; optical brighter by 0.91 mag since the 769-54530-79 spectrum (ZTF vs synthetic); W1 brightened 0.76 mag 2014-24; W1-W2 redder by 0.19; W1 amplitude 0.76 mag; log Edd -1.03; manifold prior P_hb 0.07, direction turn-off-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.915
P20003                 09:07:39.52  +59:18:52.2  0.195  18.5 D2   2 x 6 min   backup  brightening, last spec 25.7 yr ago; DR16 quasar | WHY: P(broad Hbeta rose > 2x) = 0.78, P(continuum brightened) = 0.38; optical brighter by 0.87 mag since the 484-51907-378 spectrum (ZTF vs synthetic); W1 brightened 0.52 mag 2014-24; W1-W2 redder by 0.12; W1 amplitude 0.61 mag; manifold prior P_hb 0.09, direction neutral; oct26: x1.0 moon, 11 min + 5 overhead -> yield/h 2.908
J083716.47+035606.1    08:37:16.47  +03:56:06.1  0.063  17.2 K    2 x 4 min   backup  flat/unknown, last spec 4.5 yr ago; Zeltyn+2024 object | WHY: KNOWN changer (Zeltyn CL-AGN): ZTF r moved -0.02 mag since the last spectrum; W1 slope +0.21 mag/yr; state-reversal candidate; last spectrum 4.5 yr ago; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.84
P17881                 08:38:26.50  +37:19:06.7  0.211  18.5 K    2 x 6 min   backup  brightening, last spec 1.5 yr ago; DR16 quasar | WHY: KNOWN changer (turn-on) with recent photometric motion; optical brighter by 0.48 mag since the 864-52320-335 spectrum (ZTF vs synthetic); W1 faded 0.23 mag 2014-24; W1-W2 redder by 0.10; W1 amplitude 0.49 mag; manifold prior P_hb 0.19, direction neutral; oct26: x1.0 moon, 11 min + 5 overhead -> yield/h 2.745
P19363                 09:00:28.54  +06:08:42.5  0.077  18.4 D1   2 x 4 min   backup  fading, last spec 23.7 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.56, P(continuum dimmed) = 0.05; optical fainter by 0.36 mag since the 1192-52649-336 spectrum (ZTF vs synthetic); W1 faded 0.20 mag 2014-24; W1 amplitude 0.47 mag; manifold prior P_hb 0.11, direction neutral; oct26: x1.0 moon, 9 min + 5 overhead -> yield/h 2.399
P22627                 10:02:35.70  +40:06:14.9  0.090  18.0 D1   2 x 4 min   backup  fading, last spec 22.6 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.51, P(continuum dimmed) = 0.04; optical fainter by 0.60 mag since the 1356-53033-477 spectrum (ZTF vs synthetic); W1 brightened 0.26 mag 2014-24; W1 amplitude 0.92 mag; manifold prior P_hb 0.21, direction turn-on-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.369
P21253                 09:30:05.31  +17:39:25.6  0.217  18.7 D1   2 x 8 min   backup  fading, last spec 20.6 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.75, P(continuum dimmed) = 0.18; optical fainter by 0.72 mag since the 2368-53758-459 spectrum (ZTF vs synthetic); W1 faded 0.35 mag 2014-24; W1 amplitude 0.80 mag; manifold prior P_hb 0.22, direction neutral; oct26: x1.0 moon, 15 min + 5 overhead -> yield/h 2.264
P16524                 08:14:59.43  +57:12:17.5  0.227  18.7 D1   2 x 8 min   backup  fading, last spec 21.7 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.82, P(continuum dimmed) = 0.19; optical fainter by 0.79 mag since the 1872-53386-531 spectrum (ZTF vs synthetic); W1 faded 0.36 mag 2014-24; W1-W2 bluer by 0.17; W1 amplitude 0.43 mag; manifold prior P_hb 0.15, direction turn-off-like; oct26: x1.0 moon, 17 min + 5 overhead -> yield/h 2.239
P19251                 09:08:10.34  +50:09:23.1  0.098  17.4 D1   2 x 4 min   backup  fading, last spec 24.8 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.48, P(continuum dimmed) = 0.06; optical fainter by 0.45 mag since the 766-52247-306 spectrum (ZTF vs synthetic); W1 brightened 0.13 mag 2014-24; W1-W2 bluer by 0.10; W1 amplitude 0.67 mag; manifold prior P_hb 0.22, direction turn-off-like; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.231
P17694                 08:46:35.23  +46:50:39.2  0.147  18.4 D1   2 x 5 min   backup  fading, last spec 24.8 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.55, P(continuum dimmed) = 0.08; optical fainter by 0.53 mag since the 763-52235-441 spectrum (ZTF vs synthetic); W1 faded 0.18 mag 2014-24; W1-W2 bluer by 0.17; W1 amplitude 0.73 mag; manifold prior P_hb 0.23, direction turn-off-like; oct26: x1.0 moon, 10 min + 5 overhead -> yield/h 2.192
P22832                 10:08:54.94  +37:39:30.0  0.053  16.2 D1   2 x 4 min   backup  fading, last spec 22.7 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.47, P(continuum dimmed) = 0.04; optical fainter by 0.37 mag since the 1426-52993-551 spectrum (ZTF vs synthetic); W1 faded 0.26 mag 2014-24; W1 amplitude 0.64 mag; manifold prior P_hb 0.17, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.187
P19406                 09:04:21.39  +17:09:33.3  0.073  16.9 D1   2 x 4 min   backup  fading, last spec 20.4 yr ago; DR16 quasar | WHY: P(broad Hbeta fell > 2x) = 0.47, P(continuum dimmed) = 0.02; optical fainter by 0.41 mag since the 2435-53828-435 spectrum (ZTF vs synthetic); W1 faded 0.34 mag 2014-24; W1-W2 bluer by 0.14; manifold prior P_hb 0.09, direction neutral; oct26: x1.0 moon, 8 min + 5 overhead -> yield/h 2.169
