cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
1,1.197814,-172.482796,358.06158333,0.85091666667,358.0615398,0.8505868,23h52m14.77s,00d51m02.11s,57925.06186253,16.189,0.311,14.625,,5,0000,J235214.78+005103.3
1,1.20409,59.046183,358.06158333,0.85091666667,358.0618702,0.8510887,23h52m14.85s,00d51m03.92s,58288.804102,16.13,0.268,14.903,,10,0000,J235214.78+005103.3
1,1.236299,63.611487,358.06158333,0.85091666667,358.061891,0.8510693,23h52m14.85s,00d51m03.85s,57368.5104445,15.983,0.228,14.599,,10,0000,J235214.78+005103.3
1,1.263386,46.755625,358.06158333,0.85091666667,358.061839,0.8511571,23h52m14.84s,00d51m04.17s,57727.5931981,15.752,0.193,15.417,0.49,10,0000,J235214.78+005103.3
1,1.264483,34.163665,358.06158333,0.85091666667,358.0617806,0.8512073,23h52m14.83s,00d51m04.35s,59911.0613871,15.802,0.223,15.268,,10,0000,J235214.78+005103.3
1,1.267275,-121.793717,358.06158333,0.85091666667,358.0612841,0.8507312,23h52m14.71s,00d51m02.63s,57368.18267528,15.805,0.315,15.121,0.374,10,0000,J235214.78+005103.3
1,1.284658,-88.308519,358.06158333,0.85091666667,358.0612266,0.8509272,23h52m14.69s,00d51m03.34s,57558.0874333,15.667,0.235,15.169,,10,0000,J235214.78+005103.3
1,1.285196,-90.299585,358.06158333,0.85091666667,358.0612263,0.8509148,23h52m14.69s,00d51m03.29s,58815.24651693,16.397,0.424,14.467,,5,0000,J235214.78+005103.3
1,1.290032,-53.999005,358.06158333,0.85091666667,358.0612934,0.8511273,23h52m14.71s,00d51m04.06s,59748.33787909,16.018,0.258,14.567,,5,0000,J235214.78+005103.3
1,1.328755,-170.341368,358.06158333,0.85091666667,358.0615214,0.8505528,23h52m14.77s,00d51m01.99s,60115.6720441,16.052,0.302,14.545,,5,0000,J235214.78+005103.3
1,1.334117,39.163755,358.06158333,0.85091666667,358.0618174,0.851204,23h52m14.84s,00d51m04.33s,60480.20256211,15.627,0.342,13.815,,10,0000,J235214.78+005103.3
1,1.386487,128.350794,358.06158333,0.85091666667,358.0618854,0.8506777,23h52m14.85s,00d51m02.44s,58815.115741,16.34,0.291,14.768,,10,0000,J235214.78+005103.3
1,1.434541,-70.527937,358.06158333,0.85091666667,358.0612076,0.8510495,23h52m14.69s,00d51m03.78s,58450.98923043,15.77,0.285,15.392,0.508,10,0000,J235214.78+005103.3
1,1.45304,-30.427037,358.06158333,0.85091666667,358.0613789,0.8512647,23h52m14.73s,00d51m04.55s,59020.90255377,15.945,0.264,14.934,,10,0000,J235214.78+005103.3
1,1.482367,151.616127,358.06158333,0.85091666667,358.0617791,0.8505544,23h52m14.83s,00d51m02.00s,58090.72642637,15.939,0.203,14.692,,10,0000,J235214.78+005103.3
1,1.510322,8.492926,358.06158333,0.85091666667,358.0616453,0.8513316,23h52m14.79s,00d51m04.79s,57925.45469961,16.236,0.301,15.016,0.416,10,0000,J235214.78+005103.3
