cntr_01,dist_x,pang_x,ra_01,dec_01,ra,dec,clon,clat,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags,name
37,0.504313,125.82774,132.50489,46.433491,132.5050548,46.433409,08h50m01.21s,46d26m00.27s,58572.69199331,14.628,0.085,13.589,0.109,10,0000,P18140
37,0.505706,-6.394351,132.50489,46.433491,132.5048673,46.4336306,08h50m01.17s,46d26m01.07s,56958.1424998,14.507,0.085,13.864,0.137,10,0000,P18140
37,0.509756,-85.422692,132.50489,46.433491,132.5046852,46.4335023,08h50m01.12s,46d26m00.61s,58937.10493723,14.485,0.063,13.93,0.193,10,0000,P18140
37,0.515308,-86.475284,132.50489,46.433491,132.5046827,46.4334998,08h50m01.12s,46d26m00.60s,57845.74545346,14.91,0.091,14.129,0.206,10,0000,P18140
37,0.520495,-72.074208,132.50489,46.433491,132.5046904,46.4335355,08h50m01.13s,46d26m00.73s,60242.72655248,14.477,0.085,13.689,0.133,10,0000,P18140
37,0.529746,-149.893304,132.50489,46.433491,132.5047829,46.4333637,08h50m01.15s,46d26m00.11s,60035.64624928,14.363,0.075,13.814,0.151,10,0000,P18140
37,0.535481,133.55883,132.50489,46.433491,132.5050464,46.4333885,08h50m01.21s,46d26m00.20s,57687.0742909,14.68,0.078,14.159,0.164,10,0000,P18140
37,0.536944,-13.712261,132.50489,46.433491,132.5048387,46.4336359,08h50m01.16s,46d26m01.09s,60242.33842649,14.695,0.078,14.008,0.146,10,0000,P18140
37,0.548407,12.542348,132.50489,46.433491,132.504938,46.4336397,08h50m01.19s,46d26m01.10s,57125.19498171,14.822,0.09,14.066,0.172,5,0000,P18140
37,0.556614,140.730735,132.50489,46.433491,132.505032,46.4333713,08h50m01.21s,46d26m00.14s,57485.19825435,14.846,0.083,14.009,0.133,10,0000,P18140
37,0.560914,-61.1419,132.50489,46.433491,132.504692,46.4335662,08h50m01.13s,46d26m00.84s,58415.41915058,14.815,0.083,13.818,0.118,10,0000,P18140
37,0.562782,153.333205,132.50489,46.433491,132.5049918,46.4333513,08h50m01.20s,46d26m00.06s,60242.27373882,14.647,0.133,13.802,0.158,10,0000,P18140
37,0.575699,169.621662,132.50489,46.433491,132.5049318,46.4333337,08h50m01.18s,46d26m00.00s,57484.93619179,14.926,0.093,14.088,0.17,10,0000,P18140
37,0.581871,37.049443,132.50489,46.433491,132.5050313,46.43362,08h50m01.21s,46d26m01.03s,57687.46738468,14.693,0.138,14.026,0.151,10,0000,P18140
37,0.61126,157.972407,132.50489,46.433491,132.5049824,46.4333336,08h50m01.20s,46d26m00.00s,58208.48198356,14.744,0.096,14.415,0.249,10,0000,P18140
37,0.613689,158.039174,132.50489,46.433491,132.5049825,46.4333329,08h50m01.20s,46d26m00.00s,58208.94001889,14.805,0.082,14.269,0.176,10,0000,P18140
37,0.621315,162.50049,132.50489,46.433491,132.5049653,46.4333264,08h50m01.19s,46d25m59.98s,60032.91688411,14.744,0.085,14.105,0.172,10,0000,P18140
37,0.625172,139.423135,132.50489,46.433491,132.5050539,46.4333591,08h50m01.21s,46d26m00.09s,57320.33720779,14.878,0.115,13.533,0.123,10,0000,P18140
37,0.632283,-88.107473,132.50489,46.433491,132.5046353,46.4334968,08h50m01.11s,46d26m00.59s,58208.48185619,14.77,0.101,13.946,0.12,10,0000,P18140
37,0.634538,-173.421393,132.50489,46.433491,132.5048607,46.4333159,08h50m01.17s,46d25m59.94s,58573.28080479,14.595,0.076,14.08,0.22,10,0000,P18140
37,0.649291,119.751026,132.50489,46.433491,132.5051172,46.4334015,08h50m01.23s,46d26m00.25s,59668.3603641,14.568,0.071,13.72,0.115,10,0000,P18140
37,0.64936,-161.048182,132.50489,46.433491,132.504805,46.4333204,08h50m01.15s,46d25m59.95s,58573.14951932,14.511,0.078,14.068,0.155,10,0000,P18140
37,0.651983,-40.798329,132.50489,46.433491,132.5047183,46.4336281,08h50m01.13s,46d26m01.06s,59510.61755677,14.814,0.092,14.139,0.162,5,0000,P18140
37,0.655266,135.533821,132.50489,46.433491,132.505075,46.4333611,08h50m01.22s,46d26m00.10s,59668.68685878,14.538,0.075,13.887,0.137,10,0000,P18140
37,0.657714,-43.328691,132.50489,46.433491,132.5047081,46.4336239,08h50m01.13s,46d26m01.05s,59304.32766738,14.623,0.1,13.436,0.127,10,0000,P18140
37,0.664351,-169.412062,132.50489,46.433491,132.5048408,46.4333096,08h50m01.16s,46d25m59.91s,60031.94185623,14.772,0.097,13.91,0.145,10,0000,P18140
37,0.667792,60.088659,132.50489,46.433491,132.5051233,46.4335835,08h50m01.23s,46d26m00.90s,58422.61781777,14.943,0.099,14.016,0.187,10,0000,P18140
37,0.674756,154.518771,132.50489,46.433491,132.505007,46.4333218,08h50m01.20s,46d25m59.96s,60241.75636439,14.88,0.173,14.096,0.174,10,0000,P18140
