name,class_zeltyn,z,ra,dec,is_clagn,umap_x,umap_y,fvar_w1,mean_w1_mjy,projected,clagn_score,in_region_zeltyn,in_region_clagn,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,class_change_flag,broadline_change_flag,last_class,last_subclass,r_nmgy_last_sdssv,mjd_last_sdssv,r_mag_last_sdssv
J222210.54+203340.7,CL-AGN,0.568833,335.54391666666663,20.561305555555556,True,11.185902,-3.402708,0.0646671335939023,0.1837730083034379,True,0.02,True,False,4,3,1,56101.0,59523.11213183,4.828615403519464,False,False,QSO,,,,
J001103.49+010032.6,CL-AGN,0.485892,2.7645416666666662,1.0090555555555556,True,5.286042,-1.0331457,,0.0766627268907559,True,0.0,True,False,4,4,0,55478.0,59202.0,5.7077725064078955,False,False,QSO,STARFORMING,2.487632,59202.0,21.510534663037873
J012524.66+001935.9,CL-AGN,1.662356,21.35275,0.3266388888888888,True,3.5990667,-0.32816303,,0.0510179764939012,True,0.0,True,False,6,5,1,56989.0,59489.858768545,4.919658150364099,False,False,QSO,,0.159474,59222.0,24.493275281155757
J022907.77+003755.0,EVQ,0.458884,37.282375,0.6319444444444444,False,3.8141005,-0.14096518,,0.14338116507968,True,0.0,True,False,12,11,1,52643.0,59937.0,3.6954521778658007,True,False,?,,3.671753,59232.0,21.087816354042605
J081314.19+215550.8,CL-AGN,0.454432,123.30912499999998,21.930777777777777,True,4.178748,-0.5254542,,0.1479005845227193,True,0.0,True,False,3,3,0,58523.0,59229.0,5.633850535155329,False,False,QSO,,3.341196,59229.0,21.19024511798211
J082537.64+320443.7,CL-AGN,0.719988,126.40683333333332,32.07880555555556,True,10.67307,-3.328441,0.0539582518936348,0.0957591559223221,True,0.0,True,False,4,3,1,58130.0,59554.3679664,4.743041592239514,False,True,QSO,,8.698431,59199.0,20.15139769302061
J090550.30+003948.1,CL-AGN,0.354041,136.4595833333333,0.6633611111111112,True,5.2140107,-0.96167856,0.0117481929424518,0.3956265674568845,True,0.0,True,False,6,5,1,51924.0,59616.23928618,4.573647150678933,False,True,GALAXY,,14.5233,59254.0,19.594836728897917
J113311.19+591357.9,EVQ,2.79157,173.296625,59.23275,False,3.5468614,-0.21456589,,0.0355806157186049,True,0.0,True,False,15,15,0,56666.0,59725.0,4.275876544737806,False,False,?,,3.67714,59315.0,21.086224587232923
J233830.25+002501.8,EVQ,0.463811,354.62604166666665,0.4171666666666667,False,5.2402635,-0.7707893,0.0094991601489335,0.3040421186240126,True,0.0,True,False,13,13,0,52525.0,59872.0,3.8734124790293873,False,False,?,,9.51345,59200.0,20.054154900019313
J122013.56+520206.3,EVQ,0.27803,185.0565,52.03508333333333,False,11.888208,5.5870986,0.4902889863175277,0.5099371900203555,True,0.52,False,True,22,22,0,52374.0,60052.0,3.380599337345609,False,False,?,,8.221821,59291.0,20.21257995655595
J083000.36+343238.8,EVQ,0.739263,127.50149999999998,34.54411111111111,False,11.338992,5.0245695,0.3396547219874121,0.3597075188247621,True,0.5,False,True,4,3,1,52668.0,59601.2691464,4.614633159659088,False,True,QSO,,4.3629,59197.0,20.900561852901905
J082039.62+391759.1,EVQ,0.87603,125.16508333333334,39.29975,False,12.043876,4.859305,0.337714448613675,0.2981367591547401,True,0.46,False,True,7,6,1,55272.0,59557.35601163,4.734860770254577,False,True,QSO,,3.961328,59257.0,21.005397990749877
J221003.68-005054.7,EVQ,0.388194,332.51533333333333,-0.8485277777777778,False,12.043741,4.708063,0.3290434031854473,0.2246654769249297,True,0.46,False,True,10,9,1,52525.0,59845.0,3.947334450281954,False,False,?,,,,
J093209.96+040319.9,CL-AGN,0.275805,143.04149999999998,4.055527777777778,True,13.0190525,4.4219074,0.2060333964306033,0.3515105350650724,True,0.42,False,True,9,8,1,52264.0,59937.0,3.6954521778658007,False,True,?,,14.56999,59284.0,19.591351865761418
J141634.37+515849.3,CL-AGN RM,0.989376,214.14320833333332,51.980361111111115,True,10.7749195,4.4769316,0.2143884964045141,0.2460125529792756,True,0.42,False,True,276,275,1,56415.0,60118.0,3.19990118539489,False,True,?,,6.961609,59315.0,20.39322593148275
J081127.88+222045.3,EVQ,0.312202,122.86616666666666,22.345916666666664,False,11.738051,3.3722184,0.2075637436301066,0.8095995611800806,True,0.38,False,True,6,6,0,52943.0,59232.0,5.625636982793932,False,False,QSO,BROADLINE,27.16061,59232.0,18.915151201161184
J113025.21+304033.7,CL-AGN,0.842421,172.60504166666666,30.67602777777778,True,10.531667,4.376667,0.1509209083884873,0.352868457674352,True,0.38,False,True,6,5,1,53430.0,59697.15757135,4.352104959932881,False,True,QSO,,7.359373,59311.0,20.332897962199585
J133244.09+141943.5,EVQ,0.59958,203.1837083333333,14.32875,False,11.423174,3.3416493,0.1796711567114866,0.3952150167328935,True,0.38,False,True,7,7,0,53847.0,59351.0,5.299832739125212,False,False,?,,9.426849,59310.0,20.064083623564073
J073916.52+315814.3,CL-AGN,0.727763,114.81883333333332,31.97063888888889,True,13.709218,5.3183136,0.2836470624730688,0.2762900061225582,True,0.36,False,True,14,13,1,55539.0,59527.39901225,4.816878564587214,False,True,QSO,,14.99162,59280.0,19.56037858648404
J074314.98+383829.8,EVQ,0.352608,115.81241666666666,38.64161111111111,False,10.80114,3.9557393,0.2429303632693804,0.3004411873760745,True,0.36,False,True,19,18,1,51873.0,59616.0,4.574302280535205,False,True,?,,7.254791,59278.0,20.348437736099434
J020428.59-031013.7,EVQ,0.359745,31.119124999999997,-3.170472222222222,False,11.221195,3.4560533,0.1537094009622754,0.428373982622815,True,0.34,False,True,26,26,0,56958.0,59957.0,3.6406951621231585,False,False,?,,17.49345,59226.0,19.39281132990445
J213517.46+002020.4,CL-AGN,0.181268,323.82275,0.3389999999999999,True,11.372337,3.2377186,0.1626046558149591,0.151649017385069,True,0.34,False,True,7,7,0,55452.0,59820.0,4.015780719960256,False,False,?,,,,
J142651.49+351924.5,EVQ,1.754633,216.71454166666663,35.32347222222223,False,9.941766,3.8913858,0.1656497356913907,0.1497642018207418,True,0.32,False,True,18,16,2,53144.0,60114.0,3.2108525885434185,False,True,?,,12.0152,59313.0,19.800672489288473
J092158.92+034235.7,EVQ,0.323627,140.49549999999996,3.709916666666667,False,11.557628,3.0249126,0.1082257434307647,0.5081640786388547,True,0.3,False,True,11,9,2,52252.0,59913.0,3.7611605967569712,False,True,?,,13.24456,59315.0,19.694906162262875
J142813.06+045247.6,CL-AGN,0.445953,217.05441666666664,4.879888888888889,True,12.538856,3.5225458,0.1945594785957057,0.3980119033990004,True,0.3,False,True,6,4,2,52027.0,59673.39638015,4.4171595559629955,False,False,QSO,,,,
J135415.55+515925.9,CL-AGN,0.319749,208.56479166666665,51.99052777777778,True,12.500672,3.0783098,0.19933068068422,0.1270766082846195,True,0.28,False,True,7,6,1,52465.0,59600.53811023,4.616634627612545,False,True,QSO,,8.408953,59315.0,20.18814518726775
J015717.74+004108.4,EVQ,0.389593,29.323916666666666,0.6856666666666666,False,10.860744,3.1012511,0.1223402390891821,0.4286867213629323,True,0.26,False,True,15,14,1,51871.0,59935.0,3.700927879440065,False,True,?,,16.073,59221.0,19.48475763823358
J080711.72+194439.7,CL-AGN,0.347745,121.7988333333333,19.74436111111111,True,14.90371,2.9733,0.1799523766690841,0.6233876989850662,True,0.26,False,True,6,5,1,53315.0,59884.0,3.840558269583802,False,True,?,,15.37976,59229.0,19.532626104036225
J084637.65+000024.5,CL-AGN,0.257489,131.656875,0.0068055555555555,True,21.224564,9.353527,0.2768103799724817,0.3514289135171682,True,0.26,False,True,3,3,0,51901.0,59227.0,5.639326236729593,False,False,QSO,STARBURST BROADLINE,16.82367,59227.0,19.435198147550746
J081338.47+215349.9,CL-AGN,0.548448,123.41029166666664,21.897194444444445,True,12.159108,2.7800126,0.1763614073782851,0.2094701046081349,True,0.24,False,False,3,3,0,53330.0,59229.0,5.633850535155329,False,False,QSO,BROADLINE,4.831103,59229.0,20.789884257942372
J121345.97+484419.4,EVQ,0.494173,183.44154166666664,48.73872222222222,False,15.920707,3.983371,0.5179521958765053,0.3183641004135362,True,0.24,False,True,11,11,0,53117.0,59375.0,5.2341243202340415,False,False,?,,34.93641,59292.0,18.641804310867926
J162829.18+432948.6,CL-AGN,0.260285,247.1215833333333,43.496833333333335,True,12.9691305,3.4648182,0.2210523850561635,0.5373885096596214,True,0.24,False,True,23,22,1,52057.0,60107.0,3.2300175440533434,False,True,?,,18.03365,59312.0,19.359790908592096
J164348.61+390939.1,EVQ,0.675179,250.9525416666666,39.16086111111111,False,15.242917,3.3162737,0.3134405270565961,0.2065289836848156,True,0.24,False,True,4,3,1,56090.0,59379.33467821,5.222256618084835,False,False,QSO,,,,
J235439.15+005751.9,EVQ,0.389755,358.6631249999999,0.9644166666666666,False,15.081708,4.5441775,0.5019059180269643,0.5810350351024626,True,0.24,False,False,14,13,1,51788.0,59898.0,3.8022283585639527,False,True,?,,38.69327,59190.0,18.530911415361828
J015105.80-003426.4,EVQ,0.335108,27.774166666666662,-0.574,False,15.062674,3.875675,0.2515670852986593,0.3213796431887025,True,0.22,False,True,20,19,1,51793.0,59935.0,3.700927879440065,False,True,?,,15.27092,59221.0,19.540336994967397
J022105.64-044101.5,CL-AGN RM,0.198636,35.2735,-4.68375,True,16.595428,2.07775,0.1786960451084777,0.8945591266558782,True,0.22,False,False,102,100,2,56217.0,59940.0,3.687238625504405,True,True,?,,61.29589,59257.0,18.031421611834524
J092629.23-000605.7,CL-AGN,0.201324,141.62179166666667,-0.1015833333333333,True,17.55703,2.1306562,0.347901390018339,0.1532414081496969,True,0.22,False,False,5,4,1,52000.0,59613.28000763,4.58174921378641,False,True,QSO,,16.40486,59227.0,19.462568678889273
J143732.94+355947.1,CL-AGN,0.370782,219.38725,35.99641666666667,True,11.973552,2.7339027,0.141147471481024,0.7047670592858852,True,0.22,False,False,6,4,2,53115.0,59354.27372673,5.290869763820616,False,False,QSO,,,,
J155829.36+271714.2,EVQ,0.090296,239.6223333333333,27.287277777777778,False,17.558481,2.0894282,0.4684899197432638,1.5436444421889006,True,0.22,False,False,15,15,0,52817.0,59387.0,5.201270110788457,False,False,?,,83.54285,59304.0,17.69522678299084
J222306.32+194431.6,CL-AGN,0.259936,335.7763333333333,19.74211111111111,True,22.047976,8.335078,0.2726012877151322,0.1788606720216077,True,0.22,False,False,3,3,0,56956.0,59376.0,5.231386469446909,False,False,?,,,,
J003242.74+003110.9,EVQ,0.360592,8.178083333333332,0.5196944444444445,False,13.590107,2.8710618,0.2195386109812149,0.4072738780156728,True,0.2,False,False,11,10,1,51782.0,59958.0,3.6379573113360264,False,True,?,,15.81683,59193.0,19.50220138292052
