name,visit,mjd,w1,w1err,w2,n
CLAGN_0061,329.0,59178.656051995,12.212499999999999,0.008377616158197406,11.516,12
CLAGN_0061,330.0,59336.6853819,12.322,0.007994672432264571,11.661,13
CLAGN_0061,331.0,59543.22281616,12.13,0.011175408396076579,11.508,19
CLAGN_0061,332.0,59701.03606098,12.180499999999999,0.009339590562871158,11.522,16
CLAGN_0061,333.0,59909.91394435,12.232,0.00905043525387298,11.596,13
CLAGN_0061,334.0,60068.099489689994,12.161999999999999,0.008701981601046063,11.524000000000001,14
CLAGN_0061,335.0,60274.07920569,12.03,0.009384204795327127,11.405,13
CLAGN_0061,336.0,60432.27256525,11.874,0.011498861919234857,11.2455,17
CLAGN_0067,315.0,56639.951792715,11.632,0.008416209936165611,10.616499999999998,6
CLAGN_0067,316.0,56816.82823683,11.623000000000001,0.00858365641671811,10.649999999999999,10
CLAGN_0067,317.0,57006.065328234996,11.393,0.007314157180859416,10.506,22
CLAGN_0067,318.0,57175.829218240004,11.308,0.005657693267858489,10.423,14
CLAGN_0067,319.0,57368.374255695,11.2265,0.004266913015230725,10.366499999999998,12
CLAGN_0067,320.0,57534.70278981,11.3285,0.0075739359007210676,10.407,12
CLAGN_0067,321.0,57732.56626519,11.3615,0.01172671953374854,10.4205,12
CLAGN_0067,322.0,57895.146757265,11.39,0.006203758274701629,10.4465,12
CLAGN_0067,323.0,58099.13302985,11.369,0.0038463436219131797,10.42,21
CLAGN_0067,324.0,58255.567192035,11.371,0.00316846715348096,10.4235,14
CLAGN_0067,325.0,58463.809878485,11.3415,0.006715865692140317,10.4085,12
CLAGN_0067,326.0,58622.63725193,11.3185,0.005309470107028558,10.3735,14
CLAGN_0067,327.0,58828.1273984,11.354,0.008039048402550876,10.4015,12
CLAGN_0067,328.0,58986.772771300006,11.4215,0.005295518903497936,10.4535,14
CLAGN_0067,329.0,59195.13638574,11.436,0.008237419832231627,10.4625,12
CLAGN_0067,330.0,59351.03043679,11.468,0.019708919906776368,10.4875,14
CLAGN_0067,331.0,59559.29936644,11.336,0.006491610368703034,10.434,13
CLAGN_0067,332.0,59718.10010417,11.243,0.004976815485946432,10.359,11
CLAGN_0067,334.0,60082.28518869,11.391,0.004579618243395367,10.422,11
CLAGN_0067,335.0,60290.61774685,11.509,0.007922264597344407,10.502,13
CLAGN_0067,336.0,60446.699124185005,11.51,0.005248262535030752,10.5245,22
CLAGN_0081,315.0,56715.27632235,13.383,0.009200046002057457,12.57,47
CLAGN_0081,316.0,56893.87411545,13.343,0.008902860242609499,12.549,57
CLAGN_0081,317.0,57076.945642984996,13.361,0.012521112230478913,12.527999999999999,24
CLAGN_0081,318.0,57252.92650355,13.3835,0.007376643573320748,12.565999999999999,58
CLAGN_0081,319.0,57441.16898185,13.418,0.015779510447661987,12.609,29
CLAGN_0081,320.0,57613.723227425,13.4445,0.008169389086334107,12.595500000000001,80
CLAGN_0081,321.0,57808.23604353,13.4775,0.01138274076234487,12.648499999999999,24
CLAGN_0081,322.0,57975.16036183,13.519,0.010249038710267645,12.693999999999999,50
CLAGN_0081,323.0,58172.499555745,13.6295,0.0130592526944085,12.7895,22
CLAGN_0081,324.0,58335.24546747,13.5805,0.01291079312330083,12.778,34
CLAGN_0081,325.0,58536.525869205,13.487,0.01505278757687727,12.7095,28
CLAGN_0081,326.0,58699.47553444,13.488,0.012607528641874085,12.715,31
CLAGN_0081,327.0,58903.63274098,13.534,0.013445628271187638,12.718,29
CLAGN_0081,328.0,59066.691546190006,13.581,0.013736781208036586,12.769,46
CLAGN_0081,329.0,59267.99418515,13.594,0.013993677714861702,12.808,27
CLAGN_0081,330.0,59430.41639661,13.561,0.011866365762686525,12.762,33
CLAGN_0081,331.0,59633.30494949,13.537,0.012854936139033143,12.739,39
CLAGN_0081,332.0,59795.614003259994,13.5275,0.010980187265486477,12.6975,38
