idx,name,ra,dec,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,baseline_yr,surveys,mjd_list,class_list,subclass_list,class_change_flag,broadline_change_flag,last_class,last_subclass,z_spec_median,r_nmgy_last_sdssv,mjd_last_sdssv
28,G1595565147437426688,239.67517,35.305605,2,1,1,53141.0,59358.30611957,5.306916522863691,17.022056453305954,main|sdss,53141|59358,GALAXY|QSO,AGN|,True,False,QSO,,0.08514921804589076,,
29,P3098,242.92481,49.979998,2,1,1,52051.0,59354.37745872,5.317672610064231,19.995557724079404,main|sdss,52051|59354,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.1165138182542084,,
30,P4178,252.86626,40.727977,2,2,0,52054.0,52079.0,25.236570512103935,0.06844626967830253,sdss,52054|52079,QSO|QSO,BROADLINE|BROADLINE,False,False,QSO,BROADLINE,0.16992115000000002,,
31,P2949,240.48972,49.03551,1,1,0,52054.0,52054.0,25.30501678178224,0.0,sdss,52054,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.2464913,,
32,P2987,247.34099,41.565427,1,1,0,52379.0,52379.0,24.415215275964307,0.0,sdss,52379,QSO,BROADLINE,False,False,QSO,BROADLINE,0.1613034,,
33,P3763,248.20136,48.762314,1,1,0,52145.0,52145.0,25.055872360153217,0.0,sdss,52145,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.1273684,,
34,P2770,247.16285,45.351703,1,1,0,52057.0,52057.0,25.296803229420842,0.0,sdss,52057,QSO,BROADLINE,False,False,QSO,BROADLINE,0.1494095,,
35,P4014,248.4095,37.22063,2,1,1,52790.0,59709.42520643,4.345604854526929,18.944353747926083,main|sdss,52790|59709,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.11526965715356385,,
36,P1847,242.1342,31.775196,2,1,1,53144.0,59686.40935677,4.408618816635088,17.91214060717316,main|sdss,53144|59686,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.1315109479434879,,
37,P5572,325.65905,3.8115075,2,1,1,58395.0,59387.43069241,5.227177788188804,2.7171271523887803,eboss|main,58395|59387,?|QSO,|,False,False,QSO,,0.1305457159262908,,
38,P3819,252.15084,23.849715,2,1,1,53135.0,59671.50220543,4.449432372665198,17.89596770822724,main|sdss,53135|59672,QSO|QSO,BROADLINE|,False,True,QSO,,0.1348381005222133,,
39,P2316,241.26028,33.09584,2,1,1,53142.0,59660.48576475,4.47959374345232,17.846641381930194,main|sdss,53142|59660,QSO|QSO,AGN BROADLINE|,False,True,QSO,,0.05334773576990094,,
40,G7061879067566692352,32.894464,28.19235,1,1,0,56325.0,56325.0,13.611656069941034,0.0,boss,56325,GALAXY,AGN,False,False,GALAXY,AGN,0.06972159,,
41,P3965,254.49175,29.269983,2,1,1,55723.0,59387.26239621,5.227638558072459,10.0322036857221,boss|main,55723|59387,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.146259091676705,,
42,P2078,241.19596,39.317698,0,0,0,,,,,,,,,False,False,,,,,
43,P2028,241.73349,37.321613,1,1,0,52761.0,52761.0,23.36935627527984,0.0,sdss,52761,QSO,STARFORMING BROADLINE,False,False,QSO,STARFORMING BROADLINE,0.04112531,,
44,P3389,251.23636,25.940115,1,0,1,59671.50220542,59671.50220542,4.449432372692569,0.0,main,59672,QSO,,False,False,QSO,,0.1123748173127387,,
45,P4272,256.35645,19.789657,3,1,2,52913.0,59384.31046923,5.235720493678209,17.717482461957555,main|sdss,52913|59372|59384,QSO|QSO|QSO,AGN BROADLINE||,False,True,QSO,,0.1940444641210521,,
46,P3897,251.40174,22.657425,2,1,1,53149.0,59662.51136057,4.474047964342122,17.833022205530465,main|sdss,53149|59663,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.12573756024753419,,
47,P2230,242.4861,37.388532,0,0,0,,,,,,,,,False,False,,,,,
48,P3194,250.87575,21.411994,2,1,1,53149.0,59662.51136058,4.474047964314751,17.833022205557835,main|sdss,53149|59663,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.15815547041182085,,
49,P3403,251.36904,22.465419,2,1,1,53149.0,59672.509047785,4.446675788531033,17.860394381341553,main|sdss,53149|59673,QSO|QSO,BROADLINE|,False,True,QSO,,0.14910354514867508,,
50,P4673,258.83413,27.807216,1,1,0,52410.0,52410.0,24.33034190156321,0.0,sdss,52410,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.1072541,,
51,P4596,257.38107,34.552851,2,1,1,54586.0,59356.392563,5.3121555552250825,13.060623033538675,main|sdss,54586|59356,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.07807971981016754,,
52,P3336,253.55054,62.895564,1,1,0,51699.0,51699.0,26.276953811214135,0.0,sdss,51699,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.1056367,,
53,P39,239.68637,52.849853,1,1,0,52049.0,52049.0,25.3187060357179,0.0,sdss,52049,QSO,BROADLINE,False,False,QSO,BROADLINE,0.2062602,,
54,P1969,244.16334,33.991683,1,1,0,53436.0,53436.0,21.521306993965673,0.0,sdss,53436,QSO,STARBURST BROADLINE,False,False,QSO,STARBURST BROADLINE,0.2249999,,
55,P2759,247.12158,43.496824,23,22,1,52057.0,60107.0,3.2571043930074266,22.039698836413415,BHM|sdss|sv3,52057|59310|59312|59312|59340|59342|59342|59351|59351|59370|59370|59708|59709|59709|59807|59817|59818|59818|60030|60031|60031|60107|60107,?|?|QSO|QSO|QSO|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?,||STARBURST BROADLINE|STARBURST BROADLINE|||||||||||||||||||,False,True,?,,0.26003,18.03365,59312.0
56,P3900,251.17722,26.320357,1,0,1,59744.26814577,59744.26814577,4.250210085628914,0.0,main,59744,QSO,,False,False,QSO,,0.1444811141745167,,
57,P4600,257.29342,30.462984,1,1,0,58526.0,58526.0,7.585646487463279,0.0,eboss,58526,?,,False,False,?,,,,
58,P187,236.20825,43.864251,2,1,1,52782.0,59344.71072459,5.344138685711063,17.967722723039007,sdss|sv3,52782|59345,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.1489933185067405,,
59,P2861,246.68207,41.417022,1,1,0,52379.0,52379.0,24.415215275964307,0.0,sdss,52379,QSO,BROADLINE,False,False,QSO,BROADLINE,0.5309699,,
60,G5656716943262242816,336.49861,20.329098,2,2,0,55854.0,56189.0,13.984003776990999,0.917180013689254,boss,55854|56189,GALAXY|GALAXY,AGN|AGN,False,False,GALAXY,AGN,0.15540664999999998,,
61,P70,234.94842,43.22822,4,1,3,52466.0,59364.27577428,5.290572499017003,18.88644975846681,sdss|sv3,52466|59339|59345|59364,QSO|QSO|QSO|QSO,BROADLINE|||,False,True,QSO,,0.34832581027810644,,
62,P1861,242.02784,42.682725,2,1,1,52756.0,59319.40428328,5.413423945971159,17.969621583244344,sdss|sv3,52756|59319,QSO|QSO,BROADLINE|,False,True,QSO,,0.08467291333484317,,
63,P4010,248.70245,33.274485,2,1,1,52520.0,59696.40999323,4.381238566231242,19.647939748747437,main|sdss,52520|59696,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.14200334842232948,,
64,P3195,250.76794,26.610863,2,1,1,53167.0,59401.24779214,5.1893486308171495,17.06844022488706,main|sdss,53167|59401,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.14548181020042195,,
65,P5318,324.73911,1.1186132,3,1,2,52468.0,59496.15428023,4.929508827695988,19.24203772821356,main|sdss,52468|59486|59496,QSO|QSO|QSO,BROADLINE||,False,True,QSO,,0.2763999185037169,,
66,G4931652796468713472,337.35076,-1.921245,2,1,1,55857.0,59402.44706605,5.186065197798663,9.706905040520194,boss|main,55857|59402,GALAXY|QSO,AGN BROADLINE|,True,True,QSO,,0.1346302069548446,,
67,P5182,315.50178,0.083856136,2,1,1,52431.0,59479.13491067,4.976105322042335,19.296741712991103,main|sdss,52431|59479,QSO|QSO,BROADLINE|,False,True,QSO,,1.22564403559152,,
68,P5546,327.68016,-0.88962796,2,1,1,52078.0,59486.1840411,4.956805854745959,20.28250250814511,main|sdss,52078|59486,QSO|QSO,STARBURST BROADLINE|,False,True,QSO,,0.2023505557985166,,
69,G1104553204319807488,309.86734,-0.56963127,2,1,1,52435.0,59494.10887938,4.935108830023167,19.32678680186174,main|sdss,52435|59494,GALAXY|GALAXY,AGN|,False,False,GALAXY,,0.08072598232656228,,
70,P5309,324.86957,-3.1792192,2,1,1,55752.0,59404.38960951,5.180746803657669,9.999697767310058,boss|main,55752|59404,QSO|GALAXY,BROADLINE|,True,True,GALAXY,,0.7467826544638548,,
71,P5407,327.1815,0.18182299,5,3,2,52078.0,59484.18169547,4.962287978305176,20.277020384585892,eboss|main|sdss,52078|57665|58021|59381|59484,QSO|?|?|QSO|QSO,BROADLINE||||,False,True,QSO,,0.6728448028405675,,
72,P5666,329.60785,-0.30132098,1,0,1,59489.17719376,59489.17719376,4.948611049379778,0.0,main,59489,QSO,,False,False,QSO,,0.3732614417164989,,
73,G813042431686633472,340.07071,-8.5071926,1,0,1,59539.08701812,59539.08701812,4.8119653974701215,0.0,main,59539,GALAXY,,False,False,GALAXY,,0.07865310289158998,,
74,G4985532720090470400,336.45379,5.3003542,1,1,0,56189.0,56189.0,13.984003776990999,0.0,boss,56189,GALAXY,AGN,False,False,GALAXY,AGN,0.08776756,,
75,P6173,336.78463,13.603918,1,1,0,52518.0,52518.0,24.034654016552942,0.0,sdss,52518,QSO,BROADLINE,False,False,QSO,BROADLINE,0.4968021,,
76,P7184,350.86668,0.34248285,2,1,1,51818.0,59485.28222923,4.959274881084094,20.99187468646132,main|sdss,51818|59485,QSO|QSO,BROADLINE|,False,True,QSO,,0.11987380411982065,,
77,P6378,338.82251,12.279526,2,1,1,52521.0,59545.07488731,4.795571505095032,19.230868959096515,main|sdss,52521|59545,QSO|GALAXY,BROADLINE|,True,True,GALAXY,,0.08782961803177963,,
78,P6523,339.32045,14.40911,3,2,1,52264.0,59540.08840302,4.809223755033428,19.92084436145107,main|sdss,52264|52520|59540,GALAXY|QSO|GALAXY,|BROADLINE|,True,True,GALAXY,,0.1858738,,
79,P6984,346.12005,14.882226,1,1,0,52263.0,52263.0,24.73280596727163,0.0,sdss,52263,QSO,BROADLINE,False,False,QSO,BROADLINE,0.2193358,,
80,P16663,125.84955,42.346741,0,0,0,,,,,,,,,False,False,,,,,
81,P16100,127.42778,41.910244,3,2,1,52266.0,59631.16067466,4.559881464437951,20.164710950472283,main|sdss,52266|54524|59631,QSO|QSO|QSO,BROADLINE|STARBURST BROADLINE|,False,True,QSO,,0.1263854,,
82,P17407,129.24547,44.434003,0,0,0,,,,,,,,,False,False,,,,,
83,P18255,131.81683,37.538354,0,0,0,,,,,,,,,False,False,,,,,
84,P21240,142.57381,47.122518,2,2,0,52316.0,56685.0,12.626029786573477,11.961670088980151,boss|sdss,52316|56685,QSO|QSO,STARBURST BROADLINE|BROADLINE,False,False,QSO,BROADLINE,0.15979705,,
