Name,Class,z,ra,dec,is_clagn,umap_x,umap_y,fvar_w1,mean_w1_mjy,projected,clagn_score,in_region_zeltyn,in_region_clagn
J092814.62+005631.0,EVQ,0.405275,142.06091666666666,0.9419444444444445,False,13.066165,-2.2497683,0.10204082346174932,0.6585890595532395,True,0.06,False,False
J092957.88+001508.7,CL-AGN,0.800271,142.49116666666663,0.2524166666666667,True,9.462269,2.9270158,0.10642050736511013,0.16964879768290397,True,0.16,True,False
J093041.65+011842.1,CL-AGN,2.396249,142.67354166666664,1.3116944444444445,True,,,,,False,,False,False
J093149.46+014333.5,EVQ,0.356612,142.95608333333334,1.7259722222222222,False,10.077437,-2.2653172,0.05113866628992138,2.812344533363472,True,0.0,False,False
J093209.96+040319.9,CL-AGN,0.275805,143.04149999999998,4.055527777777778,True,13.0190525,4.4219074,0.20603339643060337,0.35151053506507246,True,0.42,False,True
J093322.83+010120.9,CL-AGN,0.159933,143.34512499999997,1.0224722222222222,True,20.296722,7.4533,0.3273790601287335,0.8999890590941139,True,0.04,False,False
J093614.70+012105.9,CL-AGN,0.302738,144.06124999999997,1.351638888888889,True,13.537006,7.312562,0.4485913588850689,0.20168987212757825,True,0.18,True,False
J103723.72+363341.6,CL-AGN,0.519399,159.34883333333332,36.56155555555555,True,9.623942,0.1930349,0.0554178895424685,0.18279162602118865,True,0.08,False,False
J112256.45+435227.7,EVQ,1.582557,170.7352083333333,43.874361111111114,False,9.557622,3.3973274,0.12521029413764856,0.11925046545338665,True,0.18,True,False
J112518.07+272452.8,EVQ,0.564341,171.32529166666663,27.414666666666665,False,10.727456,1.2340789,0.08230970879074748,0.25210806622655857,True,0.06,False,False
J112536.33+303915.9,CL-AGN,0.575978,171.40137499999997,30.654416666666666,True,17.623846,1.2379315,0.3069921066859764,0.23624382499535196,True,0.12,False,False
