name,n_ztf_g,n_ztf_r,mjd_first_ztf,mjd_last_ztf,r_first,r_last,g_last,dr_last_minus_first,r_at_ref,dr_since_ref,slope_r_2yr,r_amp
J084047.47+370701.1,199,507,58217.2127662,60948.5062731,20.6433592,20.7048941,21.2426338,0.06153490000000161,20.7786255,-0.07373139999999978,-0.16376276903402695,0.8379568199999987
J090457.90+010423.1,575,1112,58202.2649537,60968.4762731,18.339769349999997,18.901365300000002,19.4336977,0.5615959500000045,18.3880196,0.5133457000000021,0.07017269712410205,0.6644250049999982
J132457.29+480241.3,948,824,58198.3818866,60859.276088,18.3564835,18.5356178,19.400692,0.1791343000000012,18.4780178,0.05760000000000076,0.08931472712157579,0.46848928
J011536.11+003352.4,284,384,58289.4652546,60969.3297801,19.6904287,19.5583973,20.07355785,-0.1320313999999989,19.3034706,0.2549266999999986,0.23321437833605424,0.7965195249999972
J012256.19-000252.6,401,401,58301.4421644,60969.3316551,18.922588349999998,18.845124249999998,19.289432499999997,-0.07746410000000026,18.8548698,-0.009745550000001657,0.0488208152635234,0.3723698000000013
J020649.48-041452.7,18,0,58384.3776736,59140.3067824,,,19.4363785,,,,,
J073716.39+380202.4,319,869,58207.2304051,60948.4972222,20.224391,20.5087433,20.949447650000003,0.28435229999999834,20.5084515,0.0002917999999993981,-0.1125700645441095,0.7283451200000002
J075934.95+322143.3,98,232,58384.4573032,60930.5169213,17.96187785,18.4491558,19.12314985,0.4872779499999993,17.984031700000003,0.46512409999999704,0.08597263309554232,0.6324795999999999
J085337.26+014303.6,368,603,58206.2153588,60969.5220023,16.5777016,16.63335325,17.4236603,0.05565164999999794,16.60355,0.029803250000000503,0.05547847963345949,0.32659167999999994
J121618.00+515946.1,813,719,58198.3732523,60850.3011921,19.19873715,19.4494743,19.7234335,0.2507371499999991,19.9008694,-0.4513951000000027,-0.2928928840095729,1.1615624699999998
J140515.59+542458.0,1143,1016,58198.3699769,60859.2765625,17.5218334,17.415821100000002,18.1726599,-0.10601229999999617,17.3322678,0.08355330000000194,-0.00165177367149321,0.29337692500000045
J160738.15+472349.1,994,1420,58198.3927315,60948.155625,20.0138149,20.4130116,21.205431,0.39919670000000096,20.23301505,0.17999655000000203,0.08888938767204142,0.565795210000001
J235214.78+005103.3,104,259,58289.4638773,60960.3157639,21.0925827,20.9964695,21.201767,-0.09611320000000134,20.7861214,0.21034810000000093,0.44326987981680815,0.9649721199999988
J012416.34+004052.2,39,193,58312.442662,60967.3020486,20.699705100000003,20.89626785,21.4562187,0.19656274999999823,20.5334568,0.36281105000000125,0.04456075670203645,0.6870231800000006
J023112.11-002056.3,325,338,58313.4658912,60968.3143981,19.093071,19.0219231,18.8900604,-0.07114789999999971,18.74940015,0.27252294999999904,0.04288733132157239,0.5931069600000001
J092313.53+043445.0,18,135,58430.5494907,60959.5299653,19.10635185,19.2625809,19.5115128,0.1562290500000003,,,-0.06174509048628404,0.5682852299999972
J112536.33+303915.9,514,701,58202.3314005,60839.2241667,19.9922752,20.16198445,20.5284901,0.16970924999999681,19.88236525,0.27961919999999907,0.2521720011430913,0.7291907999999978
J211834.39+005322.2,404,802,58246.4810417,60969.2224537,20.17678455,19.9734564,20.2584629,-0.20332815000000082,20.56150435,-0.58804795,-0.30289939444354963,0.9182998149999975
J232710.20+245645.9,685,932,58247.4711458,60949.2750231,20.32401945,20.728817,20.9636192,0.40479754999999784,20.026371,0.7024459999999983,0.10995426248700721,0.8373952149999973
J000750.51+005815.2,300,511,58273.4803125,60967.2727083,19.85915185,20.475617399999997,21.0895061,0.6164655499999974,20.3365135,0.1391038999999985,0.12173241721374042,1.0161285000000007
J012946.72+150457.3,526,773,58288.4645255,60969.3368866,18.55518815,18.4849339,18.7954979,-0.07025424999999785,18.9615364,-0.4766024999999985,-0.24856116317024635,0.7552371800000017
J090459.92-004206.9,7,51,58430.5504051,60951.5270718,18.9736691,18.9731369,20.3834515,-0.0005321999999985394,19.1034222,-0.1302853000000006,0.0416058155193578,0.43887240000000105
J135925.58+612603.8,184,255,58198.3837269,60855.2157407,20.8549404,20.84434315,20.9612083,-0.010597250000000003,21.111374849999997,-0.2670316999999969,,0.9070979799999996
J165252.60+360057.4,1722,1777,58198.3936574,60969.158831,17.902853999999998,18.0297604,18.431020750000002,0.12690640000000286,18.051815,-0.02205460000000059,0.010919480757976835,0.32691345999999655
J004459.09-010629.3,500,571,58283.4805787,60969.3165856,18.92968655,18.91217135,19.98843,-0.017515199999998288,18.9637089,-0.051537549999999044,0.028219766396114586,0.388937949999999
J011943.50-010858.5,427,357,58301.4421644,60969.3316551,19.2123194,19.3824425,19.46347045,0.17012310000000141,19.2458725,0.13656999999999897,-0.1614772598517798,0.6037067199999981
J074511.98+380911.3,584,1530,58204.2060069,60968.4877199,18.5161705,18.6279831,19.2778702,0.11181260000000037,18.7108841,-0.08290099999999967,0.03698844441432323,0.4095730849999981
J075827.30+342457.5,94,394,58210.1942014,60964.5045023,20.7295361,21.0877886,21.3017416,0.358252499999999,21.0290661,0.058722499999998234,-0.16471922242901124,0.7992295550000001
J084158.34+035851.7,134,238,58227.1619792,60758.2854745,20.7899132,20.89791965,20.9132385,0.10800644999999776,20.949255,-0.05133535000000222,0.08086084816558181,0.7022768849999999
J090254.12+015429.1,9,0,58439.4937037,60290.3460995,,,19.3449669,,,,,
J103723.72+363341.6,155,430,58202.2565741,60968.5170833,20.2613316,20.3478718,20.663565650000002,0.08654020000000173,20.6605654,-0.31269359999999935,-0.06610374875975783,0.8968773500000005
J112951.94+233237.3,590,816,58202.2896759,60969.5372917,19.4397736,19.1341591,18.9802475,-0.30561449999999724,18.9403076,0.19385150000000095,-0.26353276869801473,0.7857852249999979
J113333.82+592152.5,482,848,58202.3289005,60850.3016667,20.4550381,20.5446014,21.2407303,0.08956330000000179,20.1569443,0.387657100000002,-0.04729118130107837,0.7606969250000013
J165234.96+393733.4,1096,1576,58198.4527315,60967.1588657,20.357502,20.0303841,20.2521763,-0.32711790000000107,19.82375145,0.20663264999999953,-0.06998738290333889,0.7965392750000007
J233650.69+004042.5,383,413,58282.4203356,60969.351875,18.7092228,18.7221985,19.8800621,0.012975700000001922,18.66286755,0.05933094999999966,0.07476034841366082,0.24689599999999956
