group,name,umap_x,umap_y,t_change,sign,step,s,year_change
SampleA Turn-on,8156,14.105378,-1.1436418,56781.894770825005,1.0,0.3822692302902681,0.48626330847313465,2014.3392053958248
SampleA Turn-off,8157,21.771873,5.242031,58597.3089828,1.0,0.3615694896088364,-1.1192355272100705,2019.3095386250513
SampleA Turn-on,8159,16.379091,3.2900398,57033.027966335,1.0,0.40110438719494107,-0.18289383924033759,2015.0267706128268
SampleA Turn-on,8160,12.57126,0.5626549,57300.273206837504,1.0,0.1686584509355706,0.580772013280366,2015.758448204894
SampleA Turn-off,8162,17.021309,1.8299211,57946.89223783249,1.0,0.2593871588982221,-0.1657824026883693,2017.5287946278781
SampleA Turn-off,8163,10.687808,3.776533,57038.0549830625,-1.0,0.44246002829266595,0.6117654769045742,2015.040533834531
SampleA Turn-on,8166,16.551466,4.1285477,56869.024418379995,1.0,0.24087079311703385,-0.2717999660848813,2014.5777533699656
SampleA Turn-off,8169,22.217901,9.207211,56876.1122812425,-1.0,0.6575912400669408,-1.4857242768424994,2014.597158880883
SampleA Turn-off,8172,19.267532,5.239462,56877.77321534,-1.0,0.5145671562576327,-0.7530982447883676,2014.6017062706092
SampleA Turn-off,8173,10.240685,3.553685,56880.272762892506,-1.0,0.42470282881241633,0.6940346789183538,2014.6085496588432
SampleA Turn-on,8174,14.931521,3.7489002,56877.67456021,1.0,0.3353070429979043,-0.006239197267102604,2014.6014361675839
SampleA Turn-off,8175,12.792029,4.2951245,57149.679092495004,-1.0,0.40979799334827494,0.2648824538434313,2015.3461439904038
SampleA Turn-on,8178,14.758957,1.1367518,56876.0794598975,1.0,0.35226965697468815,0.21747336698153052,2014.5970690209376
SampleA Turn-on,8181,16.438208,3.7468424,56891.750147895,1.0,0.25378305631526255,-0.2262445966921055,2014.6399730264066
SampleA Turn-on,8182,12.656218,-1.4094092,56886.060085774996,1.0,0.2393827830820445,0.7182147030720337,2014.6243944853525
SampleA Turn-on,8183,9.700372,-0.57179123,56892.769552615006,1.0,0.07969619307054937,1.0864815443458666,2014.6427640044217
SampleA Turn-off,8185,15.208219,3.7867892,57901.2973170075,-1.0,0.13433849749760102,-0.049550348633508254,2017.4039625380083
SampleA Turn-off,8187,16.666018,8.911322,56899.41203906,-1.0,0.6491054503405835,-0.6519813506970348,2014.6609501411635
SampleA Turn-off,8189,14.009831,4.247363,56901.385044755,-1.0,0.420523672023998,0.09056284649276095,2014.6663519363588
SampleA Turn-off,8190,12.64053,-0.664152,58347.5169006725,1.0,0.11972572533808198,0.6638750386328287,2018.6256451763793
SampleA Turn-off,8191,13.829374,-0.4859377,56732.867438,-1.0,0.27095444269080604,0.476614978374043,2014.2049758740588
SampleA Turn-off,8192,11.531964,0.55981666,57176.894846055,-1.0,0.24748155878757264,0.7328528417540885,2015.4206566627104
SampleA Turn-on,8193,14.398523,2.4298427,58183.093023305,1.0,0.46732963341145844,0.17187921058851574,2018.1754771343053
SampleA Turn-off,8197,12.242235,5.46873,58546.069505005,-1.0,0.5140920871894181,0.2560378545697862,2019.169252580438
SampleA Turn-on,8198,16.68175,3.545168,56739.024226675,1.0,0.3072844507888669,-0.2465064842744896,2014.2218322427789
SampleA Turn-off,8199,11.620507,3.2314727,56922.9871317975,-1.0,0.4689503879450811,0.5168957047976501,2014.7254952273718
SampleA Turn-on,8200,14.435288,4.224499,58195.23345821,1.0,0.5821303059118286,0.03013118556489488,2018.208715833566
SampleA Turn-on,8201,14.120811,4.412175,57100.84662409499,-1.0,0.4434444886134779,0.06182205253070515,2015.2124479783572
SampleA Turn-off,8202,20.474205,9.995172,56755.335412025,-1.0,0.632071577964433,-1.2908071185363792,2014.2664898344285
SampleA Turn-off,8203,11.700131,4.575006,56115.662423165006,-1.0,0.5644588054587166,0.40316579581308926,2012.515160638371
SampleA Turn-off,8204,21.836786,9.604898,56116.619114932495,-1.0,0.6331514236625734,-1.4602547804096726,2012.5177799176797
SampleA Turn-on,8205,16.539618,5.510497,58576.36011240751,-1.0,0.5377649585913568,-0.37508293229798984,2019.2521837437578
SampleA Turn-off,8206,13.820842,3.4904962,56759.779664875,-1.0,0.47686745402867503,0.1756927608819713,2014.2786575355922
SampleA Turn-on,8209,13.522309,0.74305665,56767.136160007496,1.0,0.298747648797439,0.42809307083215903,2014.2987985215811
SampleA Turn-on,8210,12.884093,1.1071568,56126.2526919,-1.0,0.171673871385086,0.49368322420444793,2012.544155213963
SampleA Turn-off,8212,12.291242,4.9389825,56116.945418955,-1.0,1.5388601137015354,0.28913227617590326,2012.5186732894044
SampleA Turn-on,8214,14.867209,-1.6413431,56957.636442602496,1.0,0.4011676709115363,0.41276249063460935,2014.8203598702328
SampleA Turn-on,8215,11.656608,4.2234497,56742.20076522,-1.0,0.5723719031992148,0.4362402505514904,2014.2305291313346
SampleA Turn-off,8217,11.238595,4.546133,58588.021464657504,-1.0,0.39039624552993274,0.47280092306525157,2019.2841107861943
SampleA Turn-on,8218,15.552322,5.555911,57146.1467175575,1.0,0.22262042364624846,-0.2342671893111819,2015.3364728749007
SampleA Turn-off,8220,11.056323,3.9729223,56139.0564700775,-1.0,0.6049598363927384,0.5429933141456004,2012.5792100481247
SampleA Turn-on,8221,12.704124,6.513486,57768.501938605,1.0,0.14612326946075024,0.10915426626038924,2017.0403886067213
SampleA Turn-off,8222,10.287254,3.2835572,56786.0784302025,-1.0,0.29014572403597516,0.707756865411726,2014.3506596309446
SampleA Turn-off,8223,13.014063,6.026823,56786.7366717675,-1.0,2.253969522740107,0.10084650756714472,2014.3524617981313
SampleA Turn-off,8224,16.96379,2.6140952,58604.425998185,1.0,0.5714914019144249,-0.21696688439921616,2019.3290239512253
SampleA Turn-on,8225,19.79743,2.2973871,56795.72197943249,1.0,0.18499768691294,-0.6069605117617424,2014.3770622297945
SampleA Turn-on,8226,14.591809,-1.7589438,57876.55588392,1.0,0.19661512404046363,0.4619412608448287,2017.3362241859547
SampleA Turn-off,8227,12.531568,3.9463902,56799.4406636375,-1.0,0.4767363338284574,0.32944211753537916,2014.3872434322725
SampleA Turn-off,8228,21.60576,7.14506,57707.3935045925,1.0,0.4465301003251126,-1.2395736244969966,2016.87308283256
SampleA Turn-on,8229,16.713135,1.4971559,58426.7906162275,1.0,0.17374237091289058,-0.09546425845759808,2018.8426847809103
SampleA Turn-on,8230,12.627129,4.152115,56801.5141100575,-1.0,0.4317354411543476,0.29984543474438075,2014.3929202191855
SampleA Turn-on,8231,17.389595,1.5656674,58617.411952335,1.0,0.18455878873240408,-0.19951687323217024,2019.3645775560165
SampleA Turn-on,8232,15.920915,5.623563,56874.3549513525,1.0,0.29114787263047615,-0.2932680110605113,2014.5923475738605
SampleA Turn-off,8233,12.652083,5.725255,58097.8637574125,-1.0,0.38558244315524026,0.17665627809402296,2017.9421321215948
SampleA Turn-on,8236,19.818521,5.3311725,57822.79180197,1.0,0.056080329339447364,-0.8405795388092975,2017.1890261518686
SampleA Turn-off,8237,11.493733,5.168184,56735.72803987,-1.0,1.1252774635338498,0.3882497553049947,2014.2128077751404
SampleA Turn-off,8239,21.791763,2.8965683,57476.607931369996,1.0,0.12081461905171587,-0.943910365661619,2016.241226369254
SampleA Turn-off,8240,21.517094,9.304256,56791.903405137506,-1.0,0.12143652833246038,-1.3906946301093572,2014.3666075431554
SampleA Turn-off,8241,19.821936,8.086576,58629.743583135,1.0,0.3098237599649207,-1.050461472466425,2019.3983397211089
SampleA Turn-off,8242,19.88542,6.604311,58219.870945400005,1.0,0.20862060634080143,-0.9471007353458343,2018.2761695972622
SampleA Turn-off,8243,12.387599,-0.81771916,58040.56080905,1.0,0.1377785441826104,0.7125036577962516,2017.7852451993156
SampleA Turn-off,8244,13.7447605,0.3735137,58595.248051545,1.0,0.2849698152311231,0.42366931205814523,2019.3038961027926
SampleA Turn-off,8245,9.807605,2.7386928,58413.5252823725,-1.0,0.19303452561894985,0.8192488714817961,2018.8063662761738
SampleA Turn-on,8246,12.500705,3.176909,58701.702369945,-1.0,0.2646405934405212,0.39242473839066777,2019.5953521422177
