idx,name,ra,dec,n_spec,n_sdss,n_desi,mjd_first,mjd_last,years_since_last_spec,baseline_yr,surveys,mjd_list,class_list,subclass_list,class_change_flag,broadline_change_flag,last_class,last_subclass,z_spec_median,r_nmgy_last_sdssv,mjd_last_sdssv
38,J022105.64-044101.5,35.2735,-4.68375,102,100,2,56217.0,59940.0,3.6872386255044045,10.193018480492814,BHM|boss|eboss|main,56217|58047|59146|59146|59146|59146|59163|59163|59164|59164|59164|59164|59167|59167|59167|59167|59189|59190|59190|59192|59193|59193|59195|59197|59197|59199|59200|59200|59201|59202|59203|59203|59203|59203|59216|59216|59217|59217|59218|59219|59219|59220|59221|59221|59223|59223|59226|59227|59227|59228|59229|59230|59230|59231|59232|59232|59246|59246|59250|59251|59252|59252|59253|59254|59255|59255|59257|59257|59610|59621|59827|59828|59829|59829|59844|59845|59845|59847|59847|59881|59881|59884|59884|59901|59902|59902|59904|59905|59905|59907|59907|59910|59911|59911|59931|59933|59933|59936|59936|59939|59940|59940,?|?|QSO|QSO|QSO|QSO|?|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|QSO|QSO|?|QSO|QSO|?|QSO|QSO|?|QSO|QSO|?|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|QSO|QSO|?|QSO|QSO|QSO|QSO|?|QSO|QSO|?|?|QSO|QSO|?|QSO|QSO|QSO|QSO|?|QSO|QSO|QSO|?|?|QSO|QSO|QSO|QSO|GALAXY|QSO|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?,||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE||BROADLINE|BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|BROADLINE|BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE||BROADLINE|BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|||STARBURST BROADLINE|STARBURST BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|BROADLINE|BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE||||||||||||||||||||||||||||||||||,True,True,?,,0.198632,61.29589,59257.0
39,J022907.77+003755.0,37.282375,0.6319444444444444,12,11,1,52643.0,59937.0,3.6954521778658007,19.969883641341546,BHM|main|sdss,52643|59165|59165|59191|59191|59231|59232|59232|59533|59935|59937|59937,?|QSO|QSO|QSO|QSO|?|QSO|QSO|GALAXY|?|?|?,|||||||||||,True,False,?,,0.4587546,3.671753,59232.0
40,J023029.63+004305.0,37.623458333333325,0.7180555555555556,14,14,0,55209.0,59937.0,3.6954521778658007,12.944558521560575,BHM|boss|eboss,55209|55455|55458|57039|59165|59165|59191|59191|59231|59232|59232|59935|59937|59937,?|?|?|?|GALAXY|GALAXY|QSO|QSO|?|QSO|QSO|?|?|?,||||||BROADLINE|BROADLINE||BROADLINE|BROADLINE|||,True,True,?,,2.583521,0.8004927,59232.0
41,J023112.11-002056.3,37.80045833333333,-0.3489722222222222,36,34,2,52200.0,59937.0,3.6954521778658007,21.182751540041068,BHM|boss|eboss|main|sdss|sv1,52200|55179|55181|55208|55234|55241|55445|55476|55827|55856|55945|56219|56219|56238|56267|56544|56568|56577|56596|56605|58096|59165|59165|59191|59191|59231|59232|59232|59233|59488|59881|59883|59883|59935|59937|59937,?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|QSO|QSO|QSO|QSO|?|GALAXY|GALAXY|QSO|QSO|?|?|?|?|?|?,|||||||||||||||||||||BROADLINE|BROADLINE|BROADLINE|BROADLINE|||||||||||,True,True,?,,0.6433231500000001,0.0,59232.0
42,J023128.98+011250.2,37.870749999999994,1.2139444444444445,21,18,3,52641.0,59937.0,3.6954521778658007,19.975359342915812,BHM|boss|main|sdss|sv1,52641|56238|56267|56577|56605|59165|59165|59191|59191|59231|59232|59232|59234|59242|59497|59881|59883|59883|59935|59937|59937,?|?|?|?|?|QSO|QSO|QSO|QSO|?|QSO|QSO|QSO|GALAXY|QSO|?|?|?|?|?|?,|||||BROADLINE|BROADLINE|BROADLINE|BROADLINE||BROADLINE|BROADLINE|||||||||,True,True,?,,0.6014057,5.492918,59232.0
43,J023427.80+010921.9,38.61583333333333,1.1560833333333334,16,15,1,55234.0,59937.0,3.6954521778658007,12.876112251882272,BHM|boss|sv1,55234|55458|59165|59165|59191|59191|59231|59232|59232|59242|59881|59883|59883|59935|59937|59937,?|?|QSO|QSO|QSO|QSO|?|QSO|QSO|QSO|?|?|?|?|?|?,||BROADLINE|BROADLINE||||BROADLINE|BROADLINE|||||||,False,True,?,,0.7404372,3.593906,59232.0
44,J023904.10-004410.8,39.767083333333325,-0.7363333333333333,17,17,0,56273.0,59933.0,3.706403581014329,10.020533880903491,BHM|boss,56273|56572|56576|56602|59166|59166|59168|59169|59169|59192|59192|59222|59222|59929|59931|59933|59933,?|?|?|?|QSO|QSO|?|QSO|QSO|QSO|QSO|QSO|QSO|?|?|?|?,|||||||BROADLINE|BROADLINE|||BROADLINE|BROADLINE||||,False,True,?,,0.5679467,1.871922,59222.0
45,J023958.89-000901.2,39.995375,-0.1503333333333333,17,17,0,55247.0,59879.0,3.8542475235194624,12.681724845995893,BHM|boss,55247|55455|55458|59166|59166|59168|59169|59169|59192|59192|59222|59222|59846|59846|59874|59878|59879,?|?|?|QSO|QSO|?|QSO|QSO|QSO|QSO|QSO|QSO|?|?|?|?|?,|||STARBURST BROADLINE|STARBURST BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|||||,False,False,?,,0.3951849,3.192606,59222.0
46,J024508.68+003710.7,41.28616666666666,0.619638888888889,24,23,1,51871.0,59984.0,3.5667731908705917,22.21218343600274,BHM|eboss|sdss|special,51871|58081|59166|59166|59168|59169|59169|59192|59192|59222|59222|59491|59846|59846|59874|59878|59879|59879|59929|59931|59933|59933|59984|59984,?|?|QSO|QSO|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|?|?|?|?|?|?|?|?|?|?|?,||STARBURST BROADLINE|STARBURST BROADLINE||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|STARBURST BROADLINE|||||||||||||,False,True,?,,0.2995055,20.05971,59222.0
47,J024510.20-000628.1,41.2925,-0.1078055555555555,23,22,1,55450.0,59984.0,3.5667731908705917,12.413415468856947,BHM|boss|main,55450|59166|59166|59168|59169|59169|59192|59192|59222|59222|59490|59846|59846|59874|59878|59879|59879|59929|59931|59933|59933|59984|59984,?|QSO|QSO|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|?|?|?|?|?|?|?|?|?|?|?,||||BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|||||||||||||,False,True,?,,2.124715,2.854491,59222.0
48,J024637.95-004105.4,41.65812499999999,-0.6848333333333333,23,22,1,52177.0,59984.0,3.5667731908705917,21.374401095140314,BHM|main|sdss,52177|59166|59166|59168|59169|59169|59192|59192|59222|59222|59490|59846|59846|59874|59878|59879|59879|59929|59931|59933|59933|59984|59984,?|QSO|QSO|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|?|?|?|?|?|?|?|?|?|?|?,|BROADLINE|BROADLINE||BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|||||||||||||,False,True,?,,0.859457625524454,1.54535,59222.0
49,J024712.91-011106.2,41.80379166666666,-1.1850555555555555,23,22,1,52177.0,59984.0,3.5667731908705917,21.374401095140314,BHM|sdss|special,52177|59166|59166|59168|59169|59169|59192|59192|59222|59222|59491|59846|59846|59874|59878|59879|59879|59929|59931|59933|59933|59984|59984,?|QSO|QSO|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|?|?|?|?|?|?|?|?|?|?|?,|STARBURST|STARBURST||STARBURST BROADLINE|STARBURST BROADLINE|STARBURST|STARBURST|STARBURST|STARBURST|||||||||||||,False,True,?,,0.4863625,8.484588,59222.0
50,J025515.09+003740.5,43.812875,0.6279166666666667,8,8,0,52614.0,59886.0,3.835082568009538,19.90965092402464,BHM|eboss|sdss,52614|57280|58056|59193|59193|59885|59886|59886,?|?|?|QSO|QSO|?|?|?,|||BROADLINE|BROADLINE|||,False,False,?,,1.012741,1.250252,59193.0
51,J073716.39+380202.4,114.31829166666664,38.034,18,17,1,57746.0,59616.0,4.574302280535205,5.119780971937029,BHM|eboss|main,57746|59147|59147|59163|59163|59195|59195|59220|59220|59249|59250|59250|59277|59278|59278|59532|59616|59616,?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|QSO|QSO|?|QSO|QSO|GALAXY|?|?,|||STARBURST BROADLINE|STARBURST BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE||BROADLINE|BROADLINE||||||,True,True,?,,0.5506635,7.120066,59278.0
52,J073916.52+315814.3,114.81883333333332,31.97063888888889,14,13,1,55539.0,59527.39901225,4.816878564587214,10.919641375085568,BHM|boss|main,55539|59163|59164|59164|59197|59197|59221|59221|59251|59251|59279|59280|59280|59527,?|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|QSO|QSO|QSO,||BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE||BROADLINE|BROADLINE|,False,True,QSO,,0.7282559,14.99162,59280.0
53,J074147.21+303243.1,115.44670833333332,30.54530555555556,27,26,1,52232.0,59530.40480433,4.808649154375043,19.981943338343598,BHM|main|sdss,52232|59146|59146|59163|59164|59164|59168|59168|59193|59193|59197|59197|59219|59219|59221|59221|59248|59248|59251|59251|59275|59276|59276|59279|59280|59280|59530,?|QSO|QSO|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|QSO|QSO|?|QSO|QSO|QSO,|BROADLINE|BROADLINE||BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE||BROADLINE|BROADLINE||BROADLINE|BROADLINE|,False,True,QSO,,0.698503,11.0576,59280.0
54,J074314.98+383829.8,115.81241666666666,38.64161111111111,19,18,1,51873.0,59616.0,4.574302280535205,21.19917864476386,BHM|boss|main|sdss,51873|55480|59147|59147|59163|59163|59195|59195|59220|59220|59249|59250|59250|59277|59278|59278|59557|59616|59616,?|?|QSO|QSO|QSO|QSO|QSO|QSO|QSO|QSO|?|QSO|QSO|?|QSO|QSO|QSO|?|?,||||BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE|BROADLINE||BROADLINE|BROADLINE||BROADLINE|BROADLINE|||,False,True,?,,0.3490619,7.254791,59278.0
