name,class_zeltyn,z,ra,dec
J081116.71+320935.4,EVQ,0.15368,122.81962499999999,32.15983333333333
J081127.88+222045.3,EVQ,0.312202,122.86616666666666,22.345916666666664
J081314.19+215550.8,CL-AGN,0.454432,123.30912499999998,21.930777777777777
J081338.47+215349.9,CL-AGN,0.548448,123.41029166666665,21.897194444444445
J081352.60+243903.6,CL-AGN,0.651118,123.46916666666667,24.651
J081429.24+265241.5,EVQ,0.284569,123.62183333333331,26.878194444444446
J081537.56+384303.2,CL-AGN,0.506738,123.90649999999998,38.717555555555556
J082018.50+344141.0,CL-AGN,0.497461,125.07708333333332,34.69472222222222
J082039.62+391759.1,EVQ,0.87603,125.16508333333334,39.299749999999996
J082459.79+315932.5,EVQ,1.475583,126.249125,31.992361111111112
J082526.43+274205.8,EVQ,0.340195,126.36012499999998,27.70161111111111
J082537.64+320443.7,CL-AGN,0.719988,126.40683333333331,32.07880555555556
J083000.36+343238.8,EVQ,0.739263,127.50149999999998,34.54411111111111
J083414.18+270101.6,CL-AGN,1.071886,128.55908333333332,27.01711111111111
J083537.26+314209.9,EVQ,1.813543,128.90525,31.702749999999998
J083542.72+035353.8,EVQ,0.882281,128.928,3.898277777777778
J083716.47+035606.1,CL-AGN,0.063482,129.318625,3.935027777777778
J083754.66+040007.2,EVQ,0.563324,129.47775,4.002
J084047.47+370701.1,EVQ,0.525236,130.19779166666663,37.11697222222222
J084158.34+035851.7,CL-AGN,0.696807,130.49308333333332,3.981027777777778
J084528.72-002723.3,CL-AGN,0.154388,131.36966666666666,-0.4564722222222222
J084637.65+000024.5,CL-AGN,0.257489,131.656875,0.006805555555555555
J084924.70+002049.7,CL-AGN,0.508254,132.35291666666663,0.3471388888888889
J085321.89+010216.7,CL-AGN,0.213946,133.34120833333333,1.0379722222222223
J085337.26+014303.6,CL-AGN,0.058189,133.40525,1.7176666666666667
J085502.14+520137.7,EVQ,1.884805,133.75891666666666,52.027138888888885
J085512.13+032950.6,CL-AGN,0.124046,133.80054166666665,3.497388888888889
J090254.12+015429.1,CL-AGN,0.166121,135.72549999999998,1.9080833333333334
J090315.11+010623.1,CL-AGN,0.121657,135.81295833333334,1.1064166666666668
J090315.87-000710.1,CL-AGN,0.845034,135.816125,-0.11947222222222223
J090457.90+010423.1,EVQ,0.278855,136.24124999999998,1.0730833333333334
J090459.92-004206.9,CL-AGN,0.282439,136.24966666666666,-0.7019166666666666
J090535.77-004039.9,CL-AGN,0.793011,136.39904166666665,-0.67775
J090550.30+003948.1,CL-AGN,0.354041,136.4595833333333,0.6633611111111112
J090612.02+014412.0,CL-AGN,0.588482,136.5500833333333,1.7366666666666668
J090624.60+505549.5,CL-AGN,0.478108,136.60249999999996,50.930416666666666
J090826.74+002137.4,CL-AGN,0.162574,137.11141666666666,0.36038888888888887
J090903.50-005928.9,EVQ,2.440956,137.26458333333332,-0.991361111111111
J091156.22-005140.4,EVQ,0.570337,137.98424999999997,-0.8612222222222222
J091445.19+000648.8,EVQ,0.560135,138.68829166666663,0.11355555555555556
J091459.16+050243.4,CL-AGN,0.142516,138.74649999999997,5.045388888888889
J091649.41+000031.6,CL-AGN,0.222549,139.20587500000002,0.008777777777777778
J092158.92+034235.7,EVQ,0.323627,140.49549999999996,3.709916666666667
J092313.53+043445.0,CL-AGN,0.65682,140.80637499999997,4.579166666666667
J092629.23-000605.7,CL-AGN,0.201324,141.62179166666667,-0.10158333333333334
J092702.31+043308.2,EVQ,0.321793,141.75962499999997,4.552277777777777
J092739.77+050312.6,CL-AGN,0.126061,141.9157083333333,5.0535
J092814.62+005631.0,EVQ,0.405275,142.06091666666666,0.9419444444444445
J092957.88+001508.7,CL-AGN,0.800271,142.49116666666663,0.2524166666666667
J093041.65+011842.1,CL-AGN,2.396249,142.67354166666664,1.3116944444444445
J093149.46+014333.5,EVQ,0.356612,142.95608333333334,1.7259722222222222
J093209.96+040319.9,CL-AGN,0.275805,143.04149999999998,4.055527777777778
J093322.83+010120.9,CL-AGN,0.159933,143.34512499999997,1.0224722222222222
J093614.70+012105.9,CL-AGN,0.302738,144.06124999999997,1.351638888888889
J103723.72+363341.6,CL-AGN,0.519399,159.34883333333332,36.56155555555555
J112256.45+435227.7,EVQ,1.582557,170.7352083333333,43.874361111111114
J112518.07+272452.8,EVQ,0.564341,171.32529166666663,27.414666666666665
J112536.33+303915.9,CL-AGN,0.575978,171.40137499999997,30.654416666666666
J112825.59+565646.1,CL-AGN,0.615026,172.10662499999998,56.94613888888889
J112951.94+233237.3,EVQ,0.514746,172.46641666666665,23.543694444444448
J113025.21+304033.7,CL-AGN,0.842421,172.60504166666666,30.67602777777778
J113118.43+581841.8,CL-AGN,0.311977,172.82679166666665,58.311611111111105
J113200.64+292603.9,EVQ,0.578446,173.00266666666664,29.434416666666667
J113311.19+591357.9,EVQ,2.79157,173.296625,59.23275
J113333.82+592152.5,CL-AGN,0.486347,173.39091666666664,59.364583333333336
