name,n_frames,n_visits,mjd_first_neo,mjd_last_neo,w1_first,w1_last,dw1_neowise,w1_slope_2yr,w1_amp_visits,w1_flux_last_mjy,w2_last
CLAGN_0801,331,21,56713.9321436,60347.32433074,11.767,12.005,0.23800000000000132,-0.07627490135034411,0.6500000000000004,4.883337924227358,11.562999999999999
CLAGN_0805,286,22,56701.98250336,60515.60808385,9.901,9.881,-0.019999999999999574,0.027740107916627687,0.25,34.53955820854339,9.409
CLAGN_0808,262,17,56946.80509596,60415.5416198,12.99,12.461500000000001,-0.5284999999999993,-0.05424540417692714,0.9055,3.207131580193113,11.7585
CLAGN_0810,296,22,56688.450999659995,60498.282175714994,11.5475,11.5705,0.022999999999999687,0.032881953842218155,0.3664999999999985,7.286463240283836,10.707
CLAGN_0811,274,21,56654.32458186,60493.23647682,13.2325,13.379999999999999,0.14749999999999908,0.01900020867502719,0.24200000000000088,1.3763116253238783,12.62
CLAGN_0816,270,17,56774.347082505,60407.25357827,12.131,12.773,0.6419999999999995,-0.04624545808989527,0.8885000000000005,2.407225516474189,12.105
CLAGN_0818,288,17,56779.155497140004,60411.91668984,11.852,11.628,-0.2240000000000002,-0.13314563505463242,0.41799999999999926,6.910616269248463,11.167
CLAGN_0824,280,21,56797.02105448,60429.6380691,13.533,13.24,-0.29299999999999926,-0.08977829841291324,0.536999999999999,1.5657296587644383,12.459
CLAGN_0826,281,21,56797.942279434996,60430.53605694,11.885,12.25,0.3650000000000002,0.019044257566430058,0.7125000000000004,3.896877719667662,11.651
CLAGN_0831,285,22,56643.67885029,60453.2941567,12.919,13.123,0.20399999999999885,-0.2244311712785796,0.666500000000001,1.7438807281439943,12.475
CLAGN_0832,283,21,56810.017835784995,60442.40433338,13.3545,13.0365,-0.3179999999999996,-0.06146884570418619,0.43100000000000094,1.888499082887257,12.168
CLAGN_0838,360,21,56814.43021362,60444.20285449,12.802,12.99,0.1880000000000006,-0.009979051315228544,0.3200000000000003,1.9711368554183597,12.304
CLAGN_0844,501,21,56815.45216251,60446.12845898,12.88,12.704,-0.17600000000000016,-0.1124184057928385,0.49549999999999983,2.5651736981532696,12.034
CLAGN_0845,250,21,56669.63661389,60481.38884222,13.014,13.225,0.2110000000000003,-0.019385861716280095,0.5175000000000001,1.5875111280068706,12.763749999999998
CLAGN_0847,328,22,56665.51601448,60474.19832609,12.493500000000001,12.917,0.4234999999999989,-0.05880597900735287,0.817499999999999,2.108224122470547,12.5185
CLAGN_0852,349,22,56688.639778209996,60498.57829979,12.6385,11.672,-0.9664999999999999,-0.02394895333477495,1.1209999999999987,6.636158927254393,11.007
CLAGN_0855,304,22,56698.326000500005,60511.81571198,12.42,12.64,0.22000000000000064,-0.09615879707934914,0.5969999999999995,2.720926298598313,11.922
CLAGN_0856,654,22,56685.40635213,60495.00863787,13.462499999999999,13.646,0.18350000000000222,-0.05878923223520669,0.3205000000000009,1.0772506833583206,12.742
CLAGN_0965,311,21,56806.95861164,60439.51885544,10.264,9.4165,-0.8475000000000001,-0.11823603017589186,1.072000000000001,52.98058852372882,8.874500000000001
CLAGN_0969,284,18,56745.02409281,60224.030159,11.289,10.83925,-0.44974999999999987,-0.051100821028092595,0.6609999999999996,14.289491625583628,10.25825
CLAGN_0970,282,22,56694.47338797,60507.63751898,11.111,10.676,-0.4350000000000005,-0.1303547157673604,0.5660000000000007,16.607978664737477,9.942
CLAGN_0971,281,20,56749.09680319,60397.54023282,10.9055,10.9665,0.06099999999999994,0.05552778990512205,0.48799999999999955,12.709157981974675,10.840499999999999
CLAGN_0972,538,19,56777.197928455,60425.61227818,12.1425,12.1605,0.018000000000000682,-0.15188547525409712,0.42549999999999955,4.231718579533888,11.526
CLAGN_0973,316,18,56784.37482956,60435.56132367,12.051,11.218,-0.8330000000000002,-0.2352348365661466,0.9260000000000002,10.081305560870478,10.460999999999999
CLAGN_0976,266,22,56656.302270529995,60464.68669399,10.8465,11.236,0.38949999999999996,-0.20441026494950248,0.8190000000000008,9.915549301679782,10.45
CLAGN_0977,303,21,56805.44615857,60438.04466905,11.342500000000001,11.241,-0.10150000000000148,-0.07564303637352625,0.7189999999999994,9.86999149090821,10.556000000000001
CLAGN_0978,319,21,56809.263360184996,60441.70117297,7.5675,6.167,-1.4005,-0.3054373306444343,1.5340000000000007,1056.6150158072976,5.344
CLAGN_0979,765,21,56726.82898039,60360.00631808,9.698,9.83,0.13199999999999967,-0.038683733814483624,0.5609999999999999,36.200684149629055,8.89
CLAGN_0981,267,21,56821.625807865,60472.72031531,8.449,8.51,0.06099999999999994,-0.10396785973460733,0.3150000000000013,122.1003132843817,7.635
CLAGN_0983,276,22,56674.87542683,60512.164617485,10.881499999999999,11.0495,0.16800000000000104,-0.017037510052036398,0.7009999999999987,11.773803362250103,10.729
CLAGN_0984,292,22,56676.489373635006,60513.85464397,10.344,10.249,-0.09499999999999886,-0.1449422683025377,0.46749999999999936,24.610292659563097,9.801
CLAGN_0985,267,21,56799.743722365005,60432.32490104,8.809,8.753,-0.05599999999999916,0.058560849331772566,0.5975000000000001,97.6150493679428,8.1265
CLAGN_0987,301,17,56776.777458394994,60409.53037645,10.1035,10.5365,0.43299999999999983,0.08368199070485488,0.7880000000000003,18.884990828872606,10.1955
