name,ra,dec
P91,235.1545,21.502423
P92,235.07977,24.297912
P93,234.96815,24.131419
P94,235.09347,23.637038
P95,234.84812,26.203527
P96,238.15294,24.182822
P97,238.3074,31.347724
P98,238.10678,30.150574
P99,235.17837,31.755044
P100,238.27054,35.80795
P101,238.04823,36.469205
P102,234.95769,38.122117
P103,238.19226,35.737967
P104,234.90761,37.727893
P105,238.20729,28.625115
P106,238.15445,28.221774
P109,238.82769,10.41151
P110,238.88075,12.284586
P111,238.9441,8.3785213
P114,235.37393,40.997091
P115,235.39104,41.023778
P116,235.49962,39.816269
P117,238.7335,36.161022
P118,238.84185,28.223109
P119,235.47331,35.519009
P122,238.76833,36.480012
P123,235.29239,6.6083178
P125,238.82797,42.190015
P126,238.85209,41.504591
P127,238.71307,46.321513
P129,238.775,45.835779
P131,235.30808,49.342942
P133,235.29102,41.947465
P134,235.3883,52.200019
P136,235.33327,50.634219
P137,235.3826,50.769111
P138,235.43642,54.397791
P139,239.0258,55.665552
P141,235.47844,3.0850545
P142,235.1995,1.5353273
P143,239.03099,55.410063
P144,235.36848,55.651371
P146,235.54043,-0.43606372
P147,235.36607,11.972664
P148,235.26074,11.610303
P149,235.38621,11.022603
P150,235.45234,10.554142
P151,235.23997,10.716165
P152,239.00677,15.449316
P153,235.94964,12.460707
P154,236.15655,15.665345
P155,235.98428,20.706141
P156,236.0079,20.339461
P157,236.23582,22.824122
P158,236.15544,24.226013
P159,235.92835,23.794536
P160,236.02325,25.804165
P161,235.98068,25.987212
P162,235.99877,24.998485
P163,236.11359,27.723382
P164,235.92949,27.796854
P165,235.89144,10.375529
P167,236.00554,31.305325
P169,236.05785,36.237388
P170,236.07535,40.032951
P171,236.08784,39.465363
P172,235.92353,38.888715
P173,236.14776,36.789069
P174,236.05737,37.043187
P175,235.96459,36.526887
P176,236.17768,32.997034
P178,236.00826,40.268769
P179,235.9526,40.223582
P182,235.99629,3.8589198
P183,236.04176,7.5854827
P184,236.06991,7.7176383
P187,236.20825,43.864251
P188,236.03835,44.001397
P190,236.16862,46.898054
P191,235.92692,46.209286
P192,235.97075,46.307272
P193,236.20991,44.128804
P194,236.00635,-0.9188235
P195,235.95186,1.2158799
P197,235.9871,51.324754
P200,237.7474,39.841534
P202,234.51665,35.616271
P203,237.98359,47.752213
P204,237.89459,45.487193
P205,237.80761,40.237024
P206,237.70125,40.02914
P207,237.94646,0.10377167
P208,237.75226,0.20158794
P209,237.90846,-0.074424922
P210,234.65041,55.428154
P211,234.59534,54.859997
P212,237.82281,10.822446
P213,234.81864,16.85573
P215,234.73078,12.796704
P216,237.9617,59.466164
P217,237.73652,58.935077
P219,234.68642,17.703477
P221,234.80215,24.676527
P222,234.68875,27.341585
P223,237.75341,24.198059
P225,237.77213,26.305328
P226,237.7711,32.080505
P228,237.70625,35.154381
P229,237.76434,38.486615
P230,237.92349,36.314037
P231,237.99763,36.272544
P232,237.99841,36.370026
P233,234.51176,38.360244
P234,237.89836,35.814269
P235,234.63309,30.661058
P236,237.94749,33.002227
P238,234.66225,29.301018
P239,234.4765,29.370228
P240,234.57744,41.096745
P244,235.54338,13.132698
P245,235.42468,12.626408
P246,235.28436,12.851009
P247,238.72046,11.095536
