umap_x,umap_y,label
0.26525703,6.776923,2
-1.7443725,9.308067,2
-6.364033,4.306411,1
-7.382202,4.738116,65
7.257896,17.571903,4
0.20885871,10.9810295,2
-8.158934,9.335106,1
-5.7509713,7.875459,1
-8.281272,6.7318964,1
-4.991,5.5143642,1
-4.9693704,9.650463,1
-3.7211237,10.251198,1
-2.278056,8.615412,1
6.406463,12.418437,2
-3.2413075,7.7003293,832
-8.633222,3.507464,1
2.8192298,11.805281,2
-10.440491,8.14269,1
4.9728165,11.318054,2
-1.8819686,13.293071,2
-7.606937,7.3332567,1
7.9474807,18.048946,1
-8.623553,7.087614,1
-4.707556,8.357974,1
-4.487277,9.540149,1
-6.578669,10.1894045,1
-4.2632895,5.0925827,1
-8.675635,6.324577,1
-1.0241009,9.605354,1
-8.197403,8.249074,832
8.121011,13.476944,8
-6.3436537,2.1993623,16
-4.995158,6.3738737,1
-9.644651,5.7947755,1
3.4418187,12.228028,4
3.0269575,11.033973,2
3.7052875,14.067968,2
-2.6920457,6.111635,1
-9.702214,7.7593718,1
-5.4161005,5.3859186,1
-4.7685385,9.610546,1
-5.1171837,8.436021,65
-4.1899056,9.848632,1
-6.5940657,9.770713,1
-4.788539,11.066464,1
-10.163252,5.0919175,1
-7.501389,4.0963273,1
-0.30168042,10.554561,4
2.7905037,10.77772,1
-7.33868,8.18073,1
-6.1432486,11.431397,2
-5.5028577,8.577386,832
-8.032598,5.5311284,1
-1.9983999,13.185696,1
-10.312115,8.295869,1
0.31089747,13.089216,2
1.7112232,11.86769,2
-6.162218,6.132666,192
9.269238,14.745673,4
1.9609386,8.088831,192
-7.115033,1.9411849,2
-8.373333,8.959268,2
-6.5234494,9.978205,1
-7.9097505,3.5300753,832
2.7737849,10.626113,2
-2.4239333,6.882345,1
-5.0885305,6.6354504,1
-10.330826,7.750995,1
-3.1855762,6.179084,2
-8.4719305,8.291473,2
-3.3390086,9.520043,1
-9.59488,5.3073425,1
-9.028983,3.9370267,2
-8.046134,7.575014,192
4.2814126,11.706234,2
1.871869,10.908065,1
-5.951225,8.006147,1
-3.3501143,2.736482,16
-10.871376,7.817982,1344
-2.9671743,8.02065,1
7.102481,16.182545,1
-4.356443,8.384955,1
-1.1426569,9.629285,2
-2.0136077,6.1995187,2
3.8768055,14.605421,2
-9.57097,4.7926044,1
-5.9610977,12.076465,1
-4.0755496,3.7101033,1
-4.236492,4.591743,192
-4.406634,9.484863,1
1.1745546,8.577106,2
-3.0719888,12.135299,2
3.099989,12.957388,2
8.069267,12.6621895,1
-9.217282,4.5197005,832
-0.5890513,7.502878,2
-8.119977,8.162582,192
-8.708128,4.6713033,1
6.165592,13.072872,66
-7.4827857,10.164837,1
-6.2079043,8.224803,1
0.831746,8.317556,832
4.0348253,11.341729,66
3.8854413,12.160822,2
0.41618776,13.118813,2
-2.112347,12.16138,65
-0.6285997,10.636861,1
-5.4599447,3.7765136,1
8.994896,14.778365,8
-4.7227345,5.183926,1
3.6706555,13.740826,2
6.3308887,11.805872,1
-5.944934,3.0294075,1
-6.1730113,5.918151,1
-3.7851455,3.935891,65
5.558401,14.852799,2
5.3259277,14.913193,1
2.6372879,12.672378,2
-8.24806,2.7892675,1
-5.9754586,2.5591404,16
-2.21383,9.654435,1
5.789407,14.83314,2
-0.9449354,13.89478,32
0.15021588,9.876822,66
-2.6187713,5.304535,1
3.4529738,9.393647,66
9.618866,17.068462,4
-7.9692783,7.6140337,1
-10.101516,5.55094,1
-3.487012,9.059046,1
0.6827048,8.049005,1
4.565949,14.847337,192
-2.1749413,4.8480115,32
-6.6552324,11.386791,1
-9.976137,4.346106,192
-2.1107814,5.4016504,832
-7.802253,7.033134,1
-1.9340897,6.1634064,832
3.739916,11.03163,2
-9.11488,4.8352504,1
-4.8188257,6.122861,1
-8.502593,3.3599348,1
-3.8891013,6.375313,1
0.58910906,7.5673327,1344
9.835155,16.783493,8
-7.3661146,7.8943887,2
0.4312816,13.020258,1
1.6284971,8.3657875,1
-0.13876621,11.847263,66
-6.182201,2.9713964,832
8.237856,13.712217,1
-1.8133105,11.253077,1
-4.065045,4.2437854,208
-5.6715636,9.409453,2
-7.9495325,2.168913,1
-8.694312,6.0141993,2
-6.0545444,10.8367815,1
-7.955465,8.883825,1
-10.923421,6.3722796,2048
-11.009348,5.372469,1
-1.3622438,11.503713,1
0.7780641,9.824023,66
-0.06303988,9.160261,1
1.7526246,7.5643535,16
-6.5369873,3.8120656,1
1.5493444,8.959417,2
-1.1528807,9.2952385,2
2.766113,9.066332,65
-5.5616364,4.472757,2
-2.8338232,10.996958,2
-6.29748,4.5385633,65
-8.1442375,7.791184,65
-6.135413,8.809782,65
6.982909,12.710917,8
8.809985,15.273703,8
4.4947953,8.564623,2
1.7407717,7.5352664,32
4.01488,8.297093,2
4.1780734,9.107016,2
-5.891135,4.3142524,4
2.6914153,10.067442,2
-6.30361,4.55916,4
1.9608318,10.203489,2
-9.078923,7.966418,1344
-8.889194,5.12344,1
-6.7853665,4.579902,3
-6.555973,4.9043117,2
3.7071187,12.165086,2
-0.61762017,13.013322,2
-7.4872174,6.3774853,1
5.108047,12.980352,1
-10.168929,7.009553,1
-3.6389813,6.2911825,16
-8.527055,3.9340184,1
0.88017297,7.249249,2
-10.136783,6.4431615,1
-7.1633687,8.151528,1
-9.493529,7.778165,1
-3.481651,7.897343,1
7.1666965,17.663956,1
-1.705826,8.429299,1
2.2695224,10.208318,832
-6.96834,6.255591,192
-7.1730967,9.709853,66
-1.4255532,8.718365,1
-3.0273354,3.9324555,1
-9.410771,5.958979,32
-5.166427,8.2185,1
2.0476048,10.14389,2
3.5830371,10.190144,66
-6.2423925,3.6882048,832
3.353735,10.866708,2
8.998466,18.458694,2
-5.102376,5.3050213,1
0.81982034,9.651885,1
-2.707087,2.9638546,192
1.6025391,10.122368,1
-6.904752,11.584641,97
-7.824583,4.426373,1
-9.720145,5.026188,2
-9.511683,6.909597,1
-5.3865366,5.8575506,1
2.270153,9.908898,4
-5.260193,8.347911,1
-7.3101916,5.3303304,32
1.8009477,13.010539,2
-5.032672,4.1274877,1344
-0.68600667,9.200629,1
-5.632001,8.127851,832
-7.392158,7.300568,1
-0.15034981,8.525571,2
1.3375504,8.160929,2
2.006651,10.009217,2
4.693926,11.318243,2
-11.068227,6.5781465,192
7.353899,17.20785,2048
-6.0754576,7.1204205,1
1.6536931,13.446645,2
1.3529514,12.75987,2
-9.783239,8.2086115,832
2.8792925,9.825009,32
-3.5416627,6.606053,1
-3.7372258,3.154727,1
0.77378684,12.723384,2
2.8788404,13.236622,832
-7.9917665,8.084027,65
0.2485814,8.2242155,1
