name,ra_01,dec_01,ra,dec,dist_x,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags
P1823,245.16306,43.137382,245.1629512,43.1373949,0.289564,57595.01666036,14.557,0.07,13.186,0.076,10,0000
P1823,245.16306,43.137382,245.1631249,43.1373365,0.236427,57595.08211199,14.341,0.061,13.142,0.068,10,0000
P1823,245.16306,43.137382,245.1630602,43.1373448,0.133921,57595.14756362,14.311,0.073,13.288,0.08,5,0000
P1823,245.16306,43.137382,245.1629711,43.1372669,0.475641,57595.14769098,14.456,0.072,13.04,0.065,5,0000
P1823,245.16306,43.137382,245.1629289,43.1374961,0.536034,57595.21314257,14.588,0.133,13.284,0.094,10,0000
P1823,245.16306,43.137382,245.1629587,43.1374152,0.291721,57595.2785942,14.387,0.068,12.966,0.08,10,0000
P1823,245.16306,43.137382,245.1630841,43.1373379,0.170918,57595.27872152,14.284,0.058,12.994,0.115,10,0000
P1823,245.16306,43.137382,245.1629813,43.1373477,0.240811,57595.34417319,14.286,0.062,12.979,0.069,10,0000
P1823,245.16306,43.137382,245.1630552,43.1373685,0.050209,57595.40962483,14.353,0.086,12.986,0.071,10,0000
P1823,245.16306,43.137382,245.1630509,43.1374073,0.094165,57595.47520373,14.39,0.062,13.13,0.081,10,0000
P1823,245.16306,43.137382,245.1628918,43.1374247,0.467833,57595.54065536,14.435,0.081,13.142,0.085,5,0000
P1823,245.16306,43.137382,245.1630955,43.1373744,0.097188,57595.60623432,14.28,0.064,13.066,0.072,5,0000
P1823,245.16306,43.137382,245.1630967,43.1373665,0.111394,57595.67168647,14.369,0.066,13.153,0.069,10,0000
P1823,245.16306,43.137382,245.1629803,43.1373536,0.233,57595.73726542,14.529,0.067,13.051,0.073,10,0000
P1823,245.16306,43.137382,245.1629436,43.1373918,0.307809,57595.80271705,14.42,0.067,13.165,0.068,10,0000
P1823,245.16306,43.137382,245.1629973,43.1373544,0.19236,57595.868296,14.271,0.062,12.992,0.064,10,0000
P1823,245.16306,43.137382,245.1629265,43.1374235,0.381198,57595.93374763,14.291,0.058,13.145,0.093,10,0000
P1823,245.16306,43.137382,245.1627092,43.1375084,1.027766,57595.99932663,14.516,0.083,12.904,0.078,5,0000
P1823,245.16306,43.137382,245.1629485,43.1373837,0.292972,57596.06477821,14.488,0.079,13.017,0.074,10,0000
P1823,245.16306,43.137382,245.1630584,43.137273,0.392423,57596.13035716,14.372,0.069,12.968,0.061,10,0000
P1823,245.16306,43.137382,245.1630034,43.137361,0.166803,57596.1958088,14.544,0.072,13.031,0.072,10,0000
P1823,245.16306,43.137382,245.1629865,43.1374345,0.270189,57596.32683928,14.265,0.079,13.274,0.083,10,0000
P1823,245.16306,43.137382,245.163129,43.137378,0.181833,57596.45786986,14.296,0.068,13.06,0.074,10,0000
P1823,245.16306,43.137382,245.1629872,43.1373968,0.198527,57789.31196189,14.436,0.066,13.243,0.079,10,0000
P1823,245.16306,43.137382,245.1630728,43.137457,0.272086,57789.44299326,14.681,0.076,13.169,0.086,10,0000
P1823,245.16306,43.137382,245.1631025,43.1374045,0.137935,57789.57389728,14.359,0.061,13.26,0.083,10,0000
P1823,245.16306,43.137382,245.163045,43.1374703,0.320313,57789.57402464,14.475,0.066,13.2,0.07,10,0000
P1823,245.16306,43.137382,245.1629943,43.1373933,0.177322,57789.63947667,14.356,0.061,13.086,0.065,10,0000
P1823,245.16306,43.137382,245.1630926,43.137348,0.149385,57789.70492866,14.408,0.063,13.189,0.08,10,0000
P1823,245.16306,43.137382,245.1630869,43.1373763,0.073585,57789.77038068,14.51,0.071,13.039,0.069,10,0000
P1823,245.16306,43.137382,245.1629229,43.1374223,0.388281,57789.83596008,14.666,0.086,13.024,0.072,5,0000
P1823,245.16306,43.137382,245.1631282,43.1373309,0.256787,57789.90141215,14.43,0.067,13.197,0.093,10,0000
P1823,245.16306,43.137382,245.163156,43.1373012,0.384982,57789.96686419,14.528,0.072,13.139,0.075,10,0000
P1823,245.16306,43.137382,245.1630427,43.1374177,0.136319,57790.03244358,14.384,0.068,13.143,0.072,10,0000
P1823,245.16306,43.137382,245.1630668,43.1374175,0.129042,57790.09789566,14.52,0.07,13.037,0.073,10,0000
P1823,245.16306,43.137382,245.1629063,43.1373034,0.493046,57790.16334769,14.182,0.063,13.166,0.089,10,0000
P1823,245.16306,43.137382,245.1630277,43.1374166,0.150715,57790.22892698,14.41,0.066,13.111,0.07,10,0000
