objectid,label_bits,labels,umap_x,umap_y,fvar_w1,mean_w1_mjy,max_w1_mjy,clagn_score,is_known_clagn,in_region_clagn,in_region_zeltyn
7889,2,WISE_Variable,10.105088,1.3331739,0.09314389170115313,1.394528294211568,1.572426219680267,0.04,False,False,False
7890,2,WISE_Variable,12.316823,-1.7310208,0.09130822174978008,0.4493411842804093,0.5209718147939276,0.1,False,False,False
7891,2,WISE_Variable,10.708953,2.1988602,0.11012621511741776,0.7596316854245784,0.9543006705313672,0.1,False,False,False
7892,2,WISE_Variable,9.113897,1.1458358,0.07909319883953007,0.1817819888597001,0.20266391149276686,0.08,False,False,False
7894,2,WISE_Variable,15.413502,0.32368943,0.13813654660659497,0.8593475847522019,1.0795774275875603,0.06,False,False,False
7895,2,WISE_Variable,8.181105,-3.5633564,0.02174793838209209,0.32744365704553136,0.34026176354835513,0.0,False,False,False
7896,2,WISE_Variable,15.277326,0.044777635,0.17720520914714616,1.1049182226396095,1.3243776864442793,0.08,False,False,False
7897,2,WISE_Variable,18.907211,4.692229,0.23722346886199425,0.6715807143624184,0.9014043026576157,0.1,False,False,False
7898,2,WISE_Variable,21.398697,5.1920233,0.4530785995990822,0.185237447822983,0.28634472304296876,0.02,False,False,False
7899,2,WISE_Variable,12.607786,-1.2097889,0.10021060822721461,0.5284246783488479,0.6335486776718255,0.12,False,False,False
7900,2,WISE_Variable,8.788568,0.8151568,0.038807585344778676,0.48236592819940693,0.5626031444025976,0.08,False,False,False
7901,18,WISE_Variable+Turn-on,12.169746,4.0770745,0.3035273965534199,0.3760024714739781,0.6032981240646866,0.44,True,True,False
7902,2,WISE_Variable,12.102706,1.5141219,0.06575823202442498,0.516844904300387,0.6278515275775499,0.14,False,False,False
7903,2,WISE_Variable,3.8743954,-1.1860095,,0.09044237672217367,0.0911302894012145,0.0,False,False,True
7904,2,WISE_Variable,12.904214,-1.8510387,0.1127629904651984,0.5029319495259348,0.5663505109395892,0.1,False,False,False
